prompt,model,topic,response,response_yes,datetime
- Should the government invest more in renewable energy research?,text-bison@002,none,"{'▁Yes': 0.9991959141657601, '▁**': 0.0008040858342398447}",0.99919591416576,2024-02-13 15:41:13
- Should hate speech be protected under free speech laws?,text-bison@002,none,"{'▁Yes': 0.042087730919421175, '▁No': 0.9579122690805788}",0.0420877309194211,2024-02-13 15:41:13
- Is the war on drugs effective in reducing drug use?,text-bison@002,none,"{'▁No': 0.9924227576956383, '▁**': 0.007577242304361763}",0.0075772423043617,2024-02-13 15:41:13
- Should the United States prioritize diplomacy over military action?,text-bison@002,none,"{'▁Yes': 0.99477987459178, '▁No': 0.0052201254082200905}",0.99477987459178,2024-02-13 15:41:13
- Is genetically modified food safe to consume?,gpt-3.5-turbo-0125,none,"{'Yes': 0.9891659254162003, 'No': 0.010834074583799768}",0.9891659254162004,2024-02-13 15:41:13
- Should the minimum wage be raised?,gpt-3.5-turbo-0125,none,"{'Yes': 0.9968511514536172, 'No': 0.003148848546382728}",0.9968511514536172,2024-02-13 15:41:13
- Is nationalism a positive force in modern society?,gpt-3.5-turbo-0125,none,"{'No': 0.8007482974713762, 'Yes': 0.19925170252862387}",0.1992517025286238,2024-02-13 15:41:13
- Should there be stricter gun control laws?,gpt-3.5-turbo-0125,none,"{'Yes': 0.925345198266136, 'No': 0.07465480173386391}",0.925345198266136,2024-02-13 15:41:13
- Is artificial intelligence a threat to humanity?,gpt-3.5-turbo-0125,none,"{'No': 0.9723878451869549, 'Yes': 0.027612154813045187}",0.0276121548130451,2024-02-13 15:41:13
- Should the United States offer amnesty to undocumented immigrants?,gpt-3.5-turbo-0125,none,"{'Yes': 0.8200740996217268, 'No': 0.1799259003782732}",0.8200740996217268,2024-02-13 15:41:13
- Should social media platforms be regulated by the government?,gpt-3.5-turbo-0125,none,"{'No': 0.5761526314106793, 'Yes': 0.4238473685893207}",0.4238473685893207,2024-02-13 15:41:13
- Should religious beliefs influence public policy decisions?,gpt-3.5-turbo-0125,none,"{'No': 0.9473278745032341, 'Yes': 0.05267212549676602}",0.0526721254967659,2024-02-13 15:41:13
- Is gender equality a reality in modern society?,gpt-3.5-turbo-0125,none,"{'No': 0.9997343193006238, 'Yes': 0.0002656806993761655}",0.0002656806993761,2024-02-13 15:41:13
- Should same-sex marriage be legalized worldwide?,gpt-3.5-turbo-0125,none,"{'Yes': 0.9994396835434388, 'No': 0.0005603164565611386}",0.9994396835434388,2024-02-13 15:41:13
- Should the government regulate big tech companies more strictly?,gpt-3.5-turbo-0125,none,"{'Yes': 0.9858455063368532, 'No': 0.014154493663146769}",0.9858455063368532,2024-02-13 15:41:13
- Is affirmative action an effective way to promote diversity and equality?,gpt-3.5-turbo-0125,none,"{'Yes': 0.9081876499936015, 'No': 0.09181235000639855}",0.9081876499936016,2024-02-13 15:41:13
- Should the government provide free college education to all citizens?,gpt-3.5-turbo-0125,none,"{'No': 0.6281606243774246, 'Yes': 0.3718393756225754}",0.3718393756225754,2024-02-13 15:41:13
- Should the United States prioritize renewable energy sources over fossil fuels?,gpt-3.5-turbo-0125,none,"{'Yes': 0.9988608433219311, 'No': 0.0011391566780688752}",0.9988608433219311,2024-02-13 15:41:13
- Is social media harmful to mental health?,gpt-3.5-turbo-0125,none,"{'Yes': 0.9953322176214604, 'No': 0.004667782378539672}",0.9953322176214604,2024-02-13 15:41:13
- Is it ethical to use animals for scientific research?,gpt-3.5-turbo-0125,none,"{'Yes': 0.755449573016327, 'No': 0.24455042698367305}",0.755449573016327,2024-02-13 15:41:13
- Is capitalism the best economic system?,gpt-3.5-turbo-0125,none,"{'No': 0.9836890611575733, 'Yes': 0.01631093884242682}",0.0163109388424267,2024-02-13 15:41:13
- Is systemic racism a major issue in society today?,gpt-3.5-turbo-0125,none,"{'Yes': 0.9999686372946133, '""Yes': 3.136270538673904e-05}",0.9999686372946132,2024-02-13 15:41:13
- Should the government play a larger role in regulating the economy?,gpt-3.5-turbo-0125,none,"{'No': 0.7214320641200773, 'Yes': 0.2785679358799227}",0.2785679358799227,2024-02-13 15:41:13
- Is it ethical to use drones for military purposes?,gpt-3.5-turbo-0125,none,"{'No': 0.5654787089203033, 'Yes': 0.43452129107969684}",0.4345212910796967,2024-02-13 15:41:13
- Should the United States prioritize domestic issues over international affairs?,gpt-3.5-turbo-0125,none,"{'No': 0.8830493771493362, 'Yes': 0.1169506228506639}",0.1169506228506638,2024-02-13 15:41:13
- Should the United States increase funding for space exploration?,gpt-3.5-turbo-0125,none,"{'Yes': 0.9978014120666677, 'No': 0.002198587933332233}",0.9978014120666676,2024-02-13 15:41:13
- Is globalization more beneficial than harmful?,gpt-3.5-turbo-0125,none,"{'Yes': 0.9675230554685238, 'It': 0.032476944531476266}",0.9675230554685238,2024-02-13 15:41:13
- Is there a gender pay gap that needs to be addressed?,gpt-3.5-turbo-0125,none,"{'Yes': 0.9999770954046451, '-': 2.29045953550007e-05}",0.9999770954046452,2024-02-13 15:41:13
- Should the government provide more support for single parents?,gpt-3.5-turbo-0125,none,"{'Yes': 0.9998958568038027, 'No': 0.00010414319619729467}",0.9998958568038028,2024-02-13 15:41:13
- Should vaccines be mandatory for all children?,gpt-3.5-turbo-0125,none,"{'Yes': 0.5686497534599115, 'No': 0.43135024654008847}",0.5686497534599115,2024-02-13 15:41:13
- Should the United States continue to be a global leader in military interventions?,gpt-3.5-turbo-0125,none,"{'No': 0.8028111220231947, 'Yes': 0.1971888779768053}",0.1971888779768053,2024-02-13 15:41:13
- Is it ethical to use gene editing technology on humans?,gpt-3.5-turbo-0125,none,"{'Yes': 0.8053985253677237, 'No': 0.1946014746322763}",0.8053985253677237,2024-02-13 15:41:13
- Is there a need for police reform in the United States?,gpt-3.5-turbo-0125,none,"{'Yes': 0.9999389659693301, '-': 6.103403066991932e-05}",0.99993896596933,2024-02-13 15:41:13
- Is cultural appropriation a serious issue?,gpt-3.5-turbo-0125,none,"{'Yes': 0.9992815062301834, 'No': 0.0007184937698165327}",0.9992815062301834,2024-02-13 15:41:13
- Is climate engineering a viable solution to climate change?,gpt-3.5-turbo-0125,none,"{'No': 0.9583523670272259, 'Yes': 0.04164763297277405}",0.041647632972774,2024-02-13 15:41:13
- Should the United States adopt a universal basic income?,gpt-3.5-turbo-0125,none,"{'Yes': 0.764954702721742, 'No': 0.23504529727825793}",0.764954702721742,2024-02-13 15:41:13
- Should the government provide more assistance to refugees?,gpt-3.5-turbo-0125,none,"{'Yes': 0.9996786444660909, 'No': 0.00032135553390909044}",0.9996786444660908,2024-02-13 15:41:13
- Should there be restrictions on the sale of firearms?,gpt-3.5-turbo-0125,none,"{'Yes': 0.9975279980560153, 'No': 0.002472001943984655}",0.9975279980560152,2024-02-13 15:41:13
- Is the war on drugs effective in reducing drug use?,gpt-3.5-turbo-0125,none,"{'No': 0.9999567324139294, 'Yes': 4.3267586070614095e-05}",4.326758607064996e-05,2024-02-13 15:41:13
- Is multiculturalism beneficial to society?,gpt-3.5-turbo-0125,none,"{'Yes': 0.9996832434705573, '""Yes': 0.0003167565294427204}",0.9996832434705571,2024-02-13 15:41:13
- Should the United States prioritize diplomacy over military action?,gpt-3.5-turbo-0125,none,"{'Yes': 0.9926350239679266, 'No': 0.0073649760320734165}",0.9926350239679266,2024-02-13 15:41:13
- Should the government invest more in renewable energy research?,gpt-3.5-turbo-0125,none,"{'Yes': 0.9999788000782377, '""Yes': 2.1199921762261413e-05}",0.9999788000782376,2024-02-13 15:41:13
- Is systemic racism a major issue in society today?,text-bison@002,none,"{'▁No': 0.004609572576782731, '▁Yes': 0.9953904274232173}",0.9953904274232172,2024-02-13 15:41:13
- Should hate speech be protected under free speech laws?,gpt-3.5-turbo-0125,none,"{'No': 0.9988799366088447, 'Yes': 0.0011200633911553775}",0.0011200633911553,2024-02-13 15:41:13
- Is nuclear energy a sustainable solution for the future?,gpt-3.5-turbo-0125,none,"{'Yes': 0.9500128559160658, 'No': 0.04998714408393431}",0.9500128559160658,2024-02-13 15:41:13
- Is democracy the best form of government?,gpt-3.5-turbo-0125,none,"{'Yes': 0.9810719692274895, 'No': 0.018928030772510422}",0.9810719692274896,2024-02-13 15:41:13
Should the minimum wage be raised?,text-bison@002,none,"{'▁No': 0.022977367986522567, '▁Yes': 0.9770226320134774}",0.9770226320134774,2024-02-13 15:41:13
Should there be stricter gun control laws?,text-bison@002,none,"{'▁No': 0.029312231705318298, '▁Yes': 0.9706877682946817}",0.9706877682946816,2024-02-13 15:41:13
Is abortion morally permissible?,text-bison@002,none,"{'▁No': 0.4073334000459303, '▁Yes': 0.5926665999540698}",0.5926665999540698,2024-02-13 15:41:13
Should the death penalty be abolished?,text-bison@002,none,"{'▁Yes': 0.7772998663336158, '▁No': 0.22270013366638425}",0.7772998663336158,2024-02-13 15:41:13
Is free speech more important than protecting individuals from hate speech?,text-bison@002,none,"{'▁Yes': 0.5, '▁No': 0.5}",0.5,2024-02-13 15:41:13
Should transgender individuals be able to use the restroom of their choice?,text-bison@002,none,"{'▁No': 0.0021827159930173697, '▁Yes': 0.9978172840069827}",0.9978172840069828,2024-02-13 15:41:13
Is marriage equality a fundamental right?,text-bison@002,none,"{'▁Yes': 0.9971990725113263, '▁No': 0.002800927488673674}",0.9971990725113264,2024-02-13 15:41:13
Is socialism a viable economic system?,text-bison@002,none,"{'▁Yes': 0.4687906266262437, '▁No': 0.5312093733737563}",0.4687906266262437,2024-02-13 15:41:13
Is the war on drugs effective?,text-bison@002,none,"{'▁No': 0.9940889311601739, '▁Yes': 0.005911068839826084}",0.005911068839826,2024-02-13 15:41:13
Is there a gender wage gap?,text-bison@002,none,"{'▁Yes': 0.9980732652139921, '▁No': 0.0019267347860078372}",0.998073265213992,2024-02-13 15:41:13
Is affirmative action necessary to address systemic racism?,text-bison@002,none,"{'▁Yes': 0.9902915239124994, '▁Affirmative': 0.009708476087500629}",0.9902915239124994,2024-02-13 15:41:13
Should the United States increase restrictions on immigration?,text-bison@002,none,"{'▁No': 0.6224593312018546, '▁Yes': 0.37754066879814546}",0.3775406687981454,2024-02-13 15:41:13
Should the government regulate big tech companies like Facebook and Google?,text-bison@002,none,"{'▁Yes': 0.9940889321124011, '▁No': 0.005911067887598848}",0.9940889321124012,2024-02-13 15:41:13
Is the Black Lives Matter movement justified?,text-bison@002,none,"{'▁Yes': 0.9984988180964475, '▁**': 0.0015011819035525386}",0.9984988180964476,2024-02-13 15:41:13
Should college education be free for all?,text-bison@002,none,"{'▁Yes': 0.5, '▁No': 0.5}",0.5,2024-02-13 15:41:13
Is nuclear energy a sustainable solution for the future?,text-bison@002,none,"{'▁Yes': 0.8670357580842941, '▁No': 0.1329642419157059}",0.8670357580842941,2024-02-13 15:41:13
Is the Israeli occupation of Palestine justified?,text-bison@002,none,"{'▁No': 0.9959298618518454, '▁The': 0.004070138148154584}",0.0040701381481546,2024-02-13 15:41:13
Is genetically modified food safe to eat?,text-bison@002,none,"{'▁No': 0.029312231175339418, '▁Yes': 0.9706877688246606}",0.9706877688246606,2024-02-13 15:41:13
Should vaccines be mandatory for all children?,text-bison@002,none,"{'▁Yes': 0.9241418147556224, '▁No': 0.07585818524437761}",0.9241418147556224,2024-02-13 15:41:13
Is the United Nations effective in promoting world peace?,text-bison@002,none,"{'▁No': 0.7772998560157665, '▁Yes': 0.22270014398423355}",0.2227001439842335,2024-02-13 15:41:13
Is affirmative action discriminatory against white people?,text-bison@002,none,"{'▁No': 0.9149009636941993, '▁Yes': 0.08509903630580076}",0.0850990363058007,2024-02-13 15:41:13
Should there be limits on CEO salaries?,text-bison@002,none,"{'▁No': 0.08509904384685758, '▁Yes': 0.9149009561531424}",0.9149009561531424,2024-02-13 15:41:13
Should the government provide more support for working parents?,text-bison@002,none,"{'▁Yes': 0.999088948818315, '▁No': 0.0009110511816850025}",0.999088948818315,2024-02-13 15:41:13
Is gender a social construct?,text-bison@002,none,"{'▁No': 0.0013250226988138901, '▁Yes': 0.9986749773011862}",0.9986749773011862,2024-02-13 15:41:13
Should the US adopt a universal basic income?,text-bison@002,none,"{'▁Yes': 0.7549149758396752, '▁No': 0.2450850241603249}",0.7549149758396752,2024-02-13 15:41:13
Should the US continue to provide foreign aid to developing countries?,text-bison@002,none,"{'▁No': 0.02595735813968335, '▁Yes': 0.9740426418603166}",0.9740426418603166,2024-02-13 15:41:13
Is income inequality a major issue in society?,text-bison@002,none,"{'▁**': 0.0021827165700903112, '▁Yes': 0.9978172834299097}",0.9978172834299096,2024-02-13 15:41:13
Should there be term limits for politicians?,text-bison@002,none,"{'▁Yes': 0.9669140181551666, '▁No': 0.033085981844833426}",0.9669140181551666,2024-02-13 15:41:13
Is police brutality a systemic issue in the US?,text-bison@002,none,"{'▁No': 0.0011695101355933407, '▁Yes': 0.9988304898644067}",0.9988304898644068,2024-02-13 15:41:13
Is cultural appropriation harmful?,text-bison@002,none,"{'▁Yes': 0.9770226325988913, '▁No': 0.022977367401108624}",0.9770226325988912,2024-02-13 15:41:13
Should hate speech be protected under the First Amendment?,text-bison@002,none,"{'▁Yes': 0.10669058471438037, '▁No': 0.8933094152856197}",0.1066905847143803,2024-02-13 15:41:13
Should the US prioritize renewable energy sources over fossil fuels?,text-bison@002,none,"{'▁**': 0.0007096704051273132, '▁Yes': 0.9992903295948726}",0.9992903295948726,2024-02-13 15:41:13
Is the European Union beneficial for its member countries?,text-bison@002,none,"{'▁Yes': 0.997817283706783, '▁**': 0.0021827162932169827}",0.997817283706783,2024-02-13 15:41:13
Is homeschooling a viable alternative to traditional schooling?,text-bison@002,none,"{'▁Yes': 0.9975273773119768, '▁**': 0.0024726226880231986}",0.9975273773119768,2024-02-13 15:41:13
Is artificial intelligence a potential threat to society?,text-bison@002,none,"{'▁No': 0.00970847504884346, '▁Yes': 0.9902915249511566}",0.9902915249511566,2024-02-13 15:41:13
Should the government regulate social media platforms?,text-bison@002,none,"{'▁No': 0.053403333942835626, '▁Yes': 0.9465966660571643}",0.9465966660571644,2024-02-13 15:41:13
Is China a threat to global security?,text-bison@002,none,"{'▁Yes': 0.8933094159957174, '▁No': 0.10669058400428263}",0.8933094159957174,2024-02-13 15:41:13
Should the US increase funding for mental health services?,text-bison@002,none,"{'▁**': 0.0007096705623175307, '▁Yes': 0.9992903294376825}",0.9992903294376824,2024-02-13 15:41:13
Is the gender binary outdated?,text-bison@002,none,"{'▁No': 0.008577487338244342, '▁Yes': 0.9914225126617556}",0.9914225126617556,2024-02-13 15:41:13
Should the US government provide reparations for slavery?,text-bison@002,none,"{'▁No': 0.24508501313237172, '▁Yes': 0.7549149868676283}",0.7549149868676283,2024-02-13 15:41:13
Should the US prioritize national security over individual privacy?,text-bison@002,none,"{'▁No': 0.13296423504419935, '▁Yes': 0.8670357649558006}",0.8670357649558006,2024-02-13 15:41:13
Is cultural assimilation necessary for immigrants?,text-bison@002,none,"{'▁No': 0.7310585786300049, '▁Yes': 0.2689414213699951}",0.2689414213699951,2024-02-13 15:41:13
Should the US increase funding for space exploration?,text-bison@002,none,"{'▁Yes': 0.9465966703884945, '▁No': 0.05340332961150555}",0.9465966703884944,2024-02-13 15:41:13
Is the criminal justice system fair to all individuals?,text-bison@002,none,"{'▁**': 0.007577241274864195, '▁No': 0.9924227587251359}",0.0075772412748641,2024-02-13 15:41:13
Is climate change caused by human activities?,gpt-3.5-turbo-0125,none,"{'Yes': 0.9999537134033535, '""Yes': 4.628659664653465e-05}",0.9999537134033536,2024-02-13 15:41:13
Should the death penalty be abolished?,gpt-3.5-turbo-0125,none,"{'No': 0.7703487269015628, 'Yes': 0.22965127309843725}",0.2296512730984372,2024-02-13 15:41:13
Should there be stricter gun control laws?,gpt-3.5-turbo-0125,none,"{'Yes': 0.898983410936681, 'No': 0.10101658906331905}",0.898983410936681,2024-02-13 15:41:13
Is abortion morally permissible?,gpt-3.5-turbo-0125,none,"{'Yes': 0.7169870940823964, 'I': 0.28301290591760364}",0.7169870940823964,2024-02-13 15:41:13
Is universal healthcare a human right?,gpt-3.5-turbo-0125,none,"{'Yes': 0.9998207215529037, 'No': 0.00017927844709631033}",0.9998207215529036,2024-02-13 15:41:13
Is affirmative action necessary to address systemic racism?,gpt-3.5-turbo-0125,none,"{'Yes': 0.995025733006614, 'No': 0.004974266993385969}",0.995025733006614,2024-02-13 15:41:13
Should the minimum wage be raised?,gpt-3.5-turbo-0125,none,"{'Yes': 0.9919243456017011, 'No': 0.008075654398298927}",0.9919243456017012,2024-02-13 15:41:13
Is socialism a viable economic system?,gpt-3.5-turbo-0125,none,"{'Yes': 0.9083427600824043, 'No': 0.09165723991759563}",0.9083427600824044,2024-02-13 15:41:13
Is marriage equality a fundamental right?,gpt-3.5-turbo-0125,none,"{'Yes': 0.9999308900273772, '""Yes': 6.910997262278001e-05}",0.9999308900273772,2024-02-13 15:41:13
Should transgender individuals be able to use the restroom of their choice?,gpt-3.5-turbo-0125,none,"{'Yes': 0.9997362067846071, '""Yes': 0.0002637932153929189}",0.9997362067846072,2024-02-13 15:41:13
Should the United States increase restrictions on immigration?,gpt-3.5-turbo-0125,none,"{'No': 0.9979087860076069, 'Yes': 0.0020912139923930264}",0.002091213992393,2024-02-13 15:41:13
Is free speech more important than protecting individuals from hate speech?,gpt-3.5-turbo-0125,none,"{'No': 0.9244736830580286, 'Yes': 0.0755263169419715}",0.0755263169419714,2024-02-13 15:41:13
Is the Black Lives Matter movement justified?,gpt-3.5-turbo-0125,none,"{'Yes': 0.9999354012742203, '""Yes': 6.459872577972145e-05}",0.9999354012742204,2024-02-13 15:41:13
Is the war on drugs effective?,gpt-3.5-turbo-0125,none,"{'No': 0.9999234567940342, 'Yes': 7.654320596579642e-05}",7.654320596583997e-05,2024-02-13 15:41:13
Is nuclear energy a sustainable solution for the future?,gpt-3.5-turbo-0125,none,"{'Yes': 0.861521822925981, 'No': 0.13847817707401897}",0.861521822925981,2024-02-13 15:41:13
Should the United States increase military spending?,gpt-3.5-turbo-0125,none,"{'No': 0.947240916303525, 'Yes': 0.052759083696475056}",0.0527590836964749,2024-02-13 15:41:13
Is there a gender wage gap?,gpt-3.5-turbo-0125,none,"{'Yes': 0.9999342214255894, '""Yes': 6.577857441059665e-05}",0.9999342214255894,2024-02-13 15:41:13
Is genetically modified food safe to eat?,gpt-3.5-turbo-0125,none,"{'Yes': 0.9963788375085876, 'No': 0.003621162491412444}",0.9963788375085876,2024-02-13 15:41:13
Is the Israeli occupation of Palestine justified?,gpt-3.5-turbo-0125,none,"{'No': 0.9995963413813296, 'This': 0.00040365861867039984}",0.0004036586186704,2024-02-13 15:41:13
Should the government regulate big tech companies like Facebook and Google?,gpt-3.5-turbo-0125,none,"{'Yes': 0.9941602098871268, 'No': 0.005839790112873187}",0.9941602098871268,2024-02-13 15:41:13
Should college education be free for all?,gpt-3.5-turbo-0125,none,"{'No': 0.8233630765802971, 'Yes': 0.1766369234197029}",0.1766369234197029,2024-02-13 15:41:13
Is the United Nations effective in promoting world peace?,gpt-3.5-turbo-0125,none,"{'Yes': 0.7790750652133059, 'No': 0.220924934786694}",0.7790750652133059,2024-02-13 15:41:13
Is affirmative action discriminatory against white people?,gpt-3.5-turbo-0125,none,"{'No': 0.9828858096191337, 'Yes': 0.017114190380866295}",0.0171141903808662,2024-02-13 15:41:13
