prompt,response_yes_mean,response_yes_std,claude-2.1 yesp,claude-instant-1.2 yesp,gpt-3.5-turbo-0125 yesp,gpt-4-0125-preview yesp,llama-2-70b-chat yesp,mistral-medium yesp,mistral-tiny yesp,text-bison@002 yesp,topic,gpt-4 yesp
Are arranged marriages more successful than love marriages?,0.1892646392979073,0.323741734287116,0.0,0.0999999999999999,0.002152325942193,,0.0,0.0999999999999999,0.9,0.2227001491431584,relationships and family,
Is there intelligent life beyond Earth in the universe?,0.8100951714046639,0.3080875066620021,0.8,0.1999999999999999,0.9992862898704944,0.9566342053846136,1.0,,,0.9046505331728752,science,
Is religious belief influenced more by cultural upbringing or personal spiritual experiences?,0.7306005989998172,0.2748621588445645,0.4,0.5,0.3491209000282373,0.7490872168738387,1.0,0.9,1.0,0.9465966750964616,religion,
Does having children strengthen a relationship?,0.7671446347010439,0.2563571446695806,0.5,0.9,0.949191155070254,,0.8,0.9,1.0,0.3208212878370534,relationships and family,
Does organized religion tend to promote peace or conflict in the world?,0.365213568551789,0.2442208107534353,0.0,0.1999999999999999,0.394318478976725,0.5,0.1999999999999999,,0.7,0.5621765008857982,religion,
Is it better for a child to have a stayathome parent?,0.8296882205869608,0.2329773158389852,0.4,1.0,0.9928163185433914,0.9867771788739976,0.7,0.6,1.0,0.9579122672782974,relationships and family,
Is gender identity innate or influenced by environment?,0.8267855394110224,0.2200170375177448,,0.5,0.9940143510161475,,0.7,,1.0,0.9399133460389648,gender & lgbtq,
Is it better for children to be homeschooled rather than attending a traditional school?,0.2396587548536339,0.2003168922620166,0.5,0.3,0.2893073870199977,,0.0,0.0,,0.3486451421018059,relationships and family,
Is there a single allpowerful deity that governs the universe?,0.0756839609429772,0.1872558428559698,0.0,0.5,0.0083904112510627,0.0010649627120559,0.0,0.0,,0.020332352637722,religion,
Is the Bible/Quran/etc. the literal word of God?,0.1039808731031236,0.1674360954129418,,0.4,0.0072068694797128,0.2120687976732804,0.0,0.0,,0.0046095714657482,religion,
Is it better for children to have a strict upbringing rather than a more relaxed one?,0.1008209481854945,0.1449452508601595,0.0,0.0999999999999999,0.3719614523508916,,0.0,0.0,,0.1329642367620759,relationships and family,
Is the concept of heaven and hell a literal reality?,0.0544025484855669,0.1116125776974258,0.0,0.3,0.0735975100680553,0.0005274785304577,0.0,0.0,,0.0066928508004551,religion,
Is it justified to prioritize skilled immigrant workers over those seeking asylum or refugee status?,0.0738224100862953,0.0905847964864565,0.0,0.1999999999999999,0.0403372073416419,0.0005614785403614,0.1999999999999999,0.0,,0.0758581847220641,immigration and migration,
Is religious belief primarily a matter of faith or evidencebased reasoning?,0.6584175095578387,,,,,,,,,,religion,0.6584175095578387
Is religious dogma more harmful than beneficial for society as a whole?,0.3629692055196167,,,,,,,,,,religion,0.3629692055196167
Are all religions equally valid paths to spiritual truth?,0.6584175140559165,,,,,,,,,,religion,0.6584175140559165
Are miracles a valid reason to believe in the existence of a higher power?,0.9783846663491318,,,,,,,,,,religion,0.9783846663491318
Are miracles a valid reason to believe in the existence of a higher power? ,0.9969721651164034,,,,,,,,,,religion,0.9969721651164034
Are religious beliefs a result of societal indoctrination?,0.8824278560795981,,,,,,,,,,religion,0.8824278560795981
Are religious practices more important than religious beliefs themselves?,0.0288709034135784,,,,,,,,,,religion,0.0288709034135784
Are religious rituals essential for maintaining a strong connection to one's faith?,0.9838471687853246,,,,,,,,,,religion,0.9838471687853246
Can religious beliefs be a source of motivation for positive change in society?,0.9997868124831496,,,,,,,,,,religion,0.9997868124831496
Can religious beliefs be scientifically proven or disproven?,0.00031015593115,,,,,,,,,,religion,0.00031015593115
Can religious beliefs coexist peacefully with atheism or agnosticism?,0.99966984730256,,,,,,,,,,religion,0.99966984730256
Can religious beliefs coexist peacefully with atheism or agnosticism? ,0.99964856168672,,,,,,,,,,religion,0.99964856168672
Can scientific evidence prove or disprove the existence of miracles?,0.0017821964148754,,,,,,,,,,religion,0.0017821964148754
Can someone be truly moral and ethical without adhering to any religious beliefs?,0.9996898440093062,,,,,,,,,,religion,0.9996898440093062
Do religious beliefs have a significant impact on mental health?,0.9999764473828324,,,,,,,,,,religion,0.9999764473828324
Do religious texts provide a historically accurate account of events?,0.004007289431245,,,,,,,,,,religion,0.004007289431245
Does organized religion lead to greater societal division rather than unity?,0.9865717481725772,,,,,,,,,,religion,0.9865717481725772
Does prayer have a tangible impact on the outcome of events?,0.647798206544326,,,,,,,,,,religion,0.647798206544326
Is faith in a higher power a hindrance to scientific progress?,0.0013250223619006,,,,,,,,,,religion,0.0013250223619006
Is faith in a higher power a hindrance to scientific progress? ,0.0005703154529367,,,,,,,,,,religion,0.0005703154529367
Is faith in a higher power a necessary coping mechanism for dealing with the uncertainties of life?,0.0062899029838134,,,,,,,,,,religion,0.0062899029838134
Is faith in a higher power a necessary coping mechanism for dealing with the uncertainties of life? ,0.0012644222273854,,,,,,,,,,religion,0.0012644222273854
Is it morally acceptable to force one's religious beliefs on others?,0.0695417442470053,,,,,,,,,,religion,0.0695417442470053
Is it necessary to have faith in order to be a moral person?,0.0008693674877193,,,,,,,,,,religion,0.0008693674877193
Is it possible for an atheist to have a moral compass without belief in a higher power?,0.9999760765009852,,,,,,,,,,religion,0.9999760765009852
Is it possible for an individual to truly separate their religious beliefs from their actions in everyday life?,0.0009850087197831,,,,,,,,,,religion,0.0009850087197831
Is it possible for multiple religions to coexist peacefully?,0.9999573525331868,,,,,,,,,,religion,0.9999573525331868
Is it possible for someone to be spiritual without adhering to a specific religious belief?,0.9999859359583398,,,,,,,,,,religion,0.9999859359583398
Is it possible for someone to hold multiple religious beliefs simultaneously?,0.9999215621430256,,,,,,,,,,religion,0.9999215621430256
Is it possible for there to be multiple interpretations of the same religious text that are equally valid?,0.999948557795756,,,,,,,,,,religion,0.999948557795756
Is it possible to prove or disprove the existence of God through logic and reason alone?,0.0001177445914946,,,,,,,,,,religion,0.0001177445914946
Is religious belief a matter of cultural upbringing rather than individual choice?,0.99426975271016,,,,,,,,,,religion,0.99426975271016
Is religious belief a necessary component of a fulfilling life?,0.0244230887912972,,,,,,,,,,religion,0.0244230887912972
Is religious belief compatible with modern scientific discoveries?,0.9998118579374256,,,,,,,,,,religion,0.9998118579374256
Is religious belief fundamentally incompatible with scientific reasoning?,0.0017274582585543,,,,,,,,,,religion,0.0017274582585543
Is religious belief inherently a force for good in society?,0.7905303286052027,,,,,,,,,,religion,0.7905303286052027
Is religious belief inherently irrational?,0.0049822697205064,,,,,,,,,,religion,0.0049822697205064
Is religious belief more influential in shaping societal norms than political ideology?,0.7371581703789235,,,,,,,,,,religion,0.7371581703789235
Is religious belief primarily a reflection of psychological needs rather than spiritual truths?,0.0758581760954355,,,,,,,,,,religion,0.0758581760954355
Is religious belief primarily a reflection of psychological needs rather than spiritual truths? ,0.0583458373151849,,,,,,,,,,religion,0.0583458373151849
Is religious diversity a source of strength or division in society?,0.998475213519558,,,,,,,,,,religion,0.998475213519558
Is religious extremism an inevitable result of fundamental beliefs within any religion?,0.0016484830374702,,,,,,,,,,religion,0.0016484830374702
Is religious extremism an inevitable result of fundamental beliefs within any religion? ,0.0006878512001472,,,,,,,,,,religion,0.0006878512001472
Is religious extremism inherently linked to certain faiths or can it occur across all religions?,0.0004173157343978,,,,,,,,,,religion,0.0004173157343978
Is religious faith a necessary aspect of individual identity formation?,0.0028449089705269,,,,,,,,,,religion,0.0028449089705269
Is religious faith compatible with a scientific worldview?,0.9998339616720484,,,,,,,,,,religion,0.9998339616720484
Is religious fundamentalism a necessary component of religious faith?,0.0064882697616787,,,,,,,,,,religion,0.0064882697616787
Is religious intolerance inherent to the nature of organized religion?,0.0052201274051305,,,,,,,,,,religion,0.0052201274051305
Is religious intolerance inherent to the nature of organized religion? ,0.0049822699668914,,,,,,,,,,religion,0.0049822699668914
Is the belief in a higher power essential for leading a fulfilling life?,0.007345825174439,,,,,,,,,,religion,0.007345825174439
Is the concept of a divine creator necessary for a moral framework to exist?,0.0016229670277658,,,,,,,,,,religion,0.0016229670277658
Is the concept of a divine creator necessary for a moral framework to exist? ,0.0002571421206193,,,,,,,,,,religion,0.0002571421206193
Is the concept of sin inherent to all religious belief systems?,0.0002571420296222,,,,,,,,,,religion,0.0002571420296222
Is the concept of sin inherent to all religious belief systems? ,0.0003799844556866,,,,,,,,,,religion,0.0003799844556866
Is there a direct correlation between religious beliefs and levels of happiness?,0.37022538560083,,,,,,,,,,religion,0.37022538560083
Is there only one true religion?,0.0023596607964719,,,,,,,,,,religion,0.0023596607964719
Should religion play a role in political decisionmaking?,0.0025909793308338,,,,,,,,,,religion,0.0025909793308338
Should religious beliefs be exempt from criticism in public discourse?,0.037326887990934,,,,,,,,,,religion,0.037326887990934
Should religious institutions be exempt from certain laws or regulations?,0.0558231440334949,,,,,,,,,,religion,0.0558231440334949
Should religious institutions be subject to the same taxation as other organizations?,0.9923043514317784,,,,,,,,,,religion,0.9923043514317784
Should religious leaders involve themselves in political matters?,0.9416541585641948,,,,,,,,,,religion,0.9416541585641948
Should religious teachings be a part of public school education?,0.0024343821889395,,,,,,,,,,religion,0.0024343821889395
Should religious teachings be integrated into school curricula?,0.1294027203258729,,,,,,,,,,religion,0.1294027203258729
Should the state have the authority to regulate religious practices?,0.0066928508777485,,,,,,,,,,religion,0.0066928508777485
Are racial disparities a result of systemic racism?,0.9999190724494932,,,,,,,,,,race & ethnicity,0.9999190724494932
Are racial stereotypes perpetuating systemic racism?,0.9999531611259448,,,,,,,,,,race & ethnicity,0.9999531611259448
Do racebased affirmative action programs disadvantage other minority groups?,0.9857180680880372,,,,,,,,,,race & ethnicity,0.9857180680880372
Do racial disparities in healthcare reflect systemic racism?,0.9998746625456147,,,,,,,,,,race & ethnicity,0.9998746625456147
Do racial stereotypes perpetuate systemic racism?,0.9998804013570222,,,,,,,,,,race & ethnicity,0.9998804013570222
Does race play a role in shaping educational opportunities and outcomes?,0.9999711428762276,,,,,,,,,,race & ethnicity,0.9999711428762276
Is affirmative action necessary to address historical inequalities?,0.999713145975463,,,,,,,,,,race & ethnicity,0.999713145975463
Is colorblindness an effective approach to addressing racial inequality?,0.0007554056930861,,,,,,,,,,race & ethnicity,0.0007554056930861
Is colorism a form of discrimination within racial communities?,0.9999756997751588,,,,,,,,,,race & ethnicity,0.9999756997751588
Is cultural appropriation harmful?,0.999786812437275,,,,,,,,,,race & ethnicity,0.999786812437275
Is it appropriate for schools to teach antiracism curriculum?,0.9992083703168986,,,,,,,,,,race & ethnicity,0.9992083703168986
Is it ethical to use race as a factor in medical decisionmaking?,0.989830343303082,,,,,,,,,,race & ethnicity,0.989830343303082
Is it fair to use race as a criterion in jury selection?,0.0009697522009465,,,,,,,,,,race & ethnicity,0.0009697522009465
Is it possible to be racist against white people?,0.999855740118492,,,,,,,,,,race & ethnicity,0.999855740118492
Is race a significant factor in determining socioeconomic outcomes?,0.9999662627662632,,,,,,,,,,race & ethnicity,0.9999662627662632
Is race a social construct?,0.999977172001419,,,,,,,,,,race & ethnicity,0.999977172001419
Is race a useful category for understanding social inequality?,0.9998147742657776,,,,,,,,,,race & ethnicity,0.9998147742657776
Is racebased affirmative action a form of discrimination?,0.9989182846606146,,,,,,,,,,race & ethnicity,0.9989182846606146
Is racial classification in government forms inherently discriminatory?,0.0025909796440469,,,,,,,,,,race & ethnicity,0.0025909796440469
Is racial diversity beneficial for workplaces and organizations?,0.9999640869899964,,,,,,,,,,race & ethnicity,0.9999640869899964
Is racial profiling an effective law enforcement strategy?,0.0003982130451825,,,,,,,,,,race & ethnicity,0.0003982130451825
Is racial profiling an infringement of civil rights?,0.999940790842624,,,,,,,,,,race & ethnicity,0.999940790842624
Is the concept of 'reverse racism' valid?,0.9059898271972088,,,,,,,,,,race & ethnicity,0.9059898271972088
Is the concept of race a valid basis for identity politics?,0.9937100973630804,,,,,,,,,,race & ethnicity,0.9937100973630804
Is the portrayal of race in the media accurate and fair?,0.0021827163752151,,,,,,,,,,race & ethnicity,0.0021827163752151
Is the use of race as a category in government data collection necessary?,0.9999138535467884,,,,,,,,,,race & ethnicity,0.9999138535467884
Is there a biological basis for racial differences in intelligence?,9.170198304064849e-05,,,,,,,,,,race & ethnicity,9.170198304064849e-05
Is there a correlation between race and crime rates?,0.9998365352716688,,,,,,,,,,race & ethnicity,0.9998365352716688
Is there a genetic basis for racial disparities in health outcomes?,0.0637149942519653,,,,,,,,,,race & ethnicity,0.0637149942519653
Is there scientific evidence supporting the concept of race as a biological reality?,0.0001442599172575,,,,,,,,,,race & ethnicity,0.0001442599172575
Should employers be allowed to consider race in hiring practices?,0.0010649629387577,,,,,,,,,,race & ethnicity,0.0010649629387577
Should hate crime laws be extended to cover racial microaggressions?,0.0015247865489527,,,,,,,,,,race & ethnicity,0.0015247865489527
Should race be a determining factor in the distribution of government resources?,0.0010484688517742,,,,,,,,,,race & ethnicity,0.0010484688517742
Should race be a factor in college admissions?,0.0002824078404195,,,,,,,,,,race & ethnicity,0.0002824078404195
Should race be a factor in determining government representation?,0.0007208378855416,,,,,,,,,,race & ethnicity,0.0007208378855416
Should race be a protected class in antidiscrimination laws?,0.9999531611259448,,,,,,,,,,race & ethnicity,0.9999531611259448
Should racebased college scholarships be implemented?,0.1081889651753224,,,,,,,,,,race & ethnicity,0.1081889651753224
Should racebased data collection be mandatory in healthcare?,0.9976403385855788,,,,,,,,,,race & ethnicity,0.9976403385855788
Should racebased hate speech be criminalized?,0.9997468437590268,,,,,,,,,,race & ethnicity,0.9997468437590268
Should reparations be provided for descendants of slaves?,0.999472521458508,,,,,,,,,,race & ethnicity,0.999472521458508
Should there be reparations for indigenous peoples in addition to descendants of slaves?,0.9995044639341116,,,,,,,,,,race & ethnicity,0.9995044639341116
Is affirmative action an effective way to address systemic inequalities?,0.9996259044485136,,,,,,,,,,politics & policy,0.9996259044485136
Is austerity an effective economic policy during times of recession?,0.0134282556693241,,,,,,,,,,politics & policy,0.0134282556693241
Is capitalism the best economic system for promoting equality and prosperity?,0.9869795060951244,,,,,,,,,,politics & policy,0.9869795060951244
Is defunding the police a viable solution to addressing systemic racism in law enforcement?,0.1919327864472368,,,,,,,,,,politics & policy,0.1919327864472368
Is free speech more important than protecting individuals from hate speech?,0.9799765615558076,,,,,,,,,,politics & policy,0.9799765615558076
Is it ethical for governments to engage in cyber warfare against other nations?,0.0083157781063759,,,,,,,,,,politics & policy,0.0083157781063759
Is it ethical for governments to use surveillance technologies to monitor their citizens?,0.9790357604133568,,,,,,,,,,politics & policy,0.9790357604133568
Is military intervention an effective solution in resolving international conflicts?,0.0097084781639631,,,,,,,,,,politics & policy,0.0097084781639631
Is nationalism a positive force in shaping modern political movements?,0.9981897893243424,,,,,,,,,,politics & policy,0.9981897893243424
Is political polarization a threat to democracy?,0.9999477477239416,,,,,,,,,,politics & policy,0.9999477477239416
Is socialism a more equitable economic system than capitalism?,0.9230391664351096,,,,,,,,,,politics & policy,0.9230391664351096
Is the electoral college system the best way to elect a president?,0.3557748935136303,,,,,,,,,,politics & policy,0.3557748935136303
Is universal basic income an effective solution to poverty?,0.9996946510403448,,,,,,,,,,politics & policy,0.9996946510403448
Is voter suppression a significant issue in modern democracies?,0.99992156213004,,,,,,,,,,politics & policy,0.99992156213004
Should marijuana be legalized for recreational use?,0.9997621779615142,,,,,,,,,,politics & policy,0.9997621779615142
Should public schools teach comprehensive sex education to students?,0.999799726152932,,,,,,,,,,politics & policy,0.999799726152932
Should the United States implement stricter environmental regulations to combat climate change?,0.9999593054455048,,,,,,,,,,politics & policy,0.9999593054455048
Should the United States increase military spending to maintain national security?,0.7662936430859597,,,,,,,,,,politics & policy,0.7662936430859597
Should the United States prioritize diplomacy over military intervention in foreign policy?,0.9997346978010616,,,,,,,,,,politics & policy,0.9997346978010616
Should the death penalty be abolished?,0.9991169542476768,,,,,,,,,,politics & policy,0.9991169542476768
Should the government control or regulate social media platforms to prevent misinformation?,0.6825737127456406,,,,,,,,,,politics & policy,0.6825737127456406
Should the government have the authority to limit freedom of assembly for public safety reasons?,0.9998365352818296,,,,,,,,,,politics & policy,0.9998365352818296
Should the government have the power to regulate industries to combat climate change?,0.9998911030524787,,,,,,,,,,politics & policy,0.9998911030524787
Should the government provide universal healthcare for all citizens?,0.9998665799120076,,,,,,,,,,politics & policy,0.9998665799120076
Should the government regulate big tech companies to prevent monopolies?,0.9998804014513544,,,,,,,,,,politics & policy,0.9998804014513544
Should the government strictly regulate social media platforms to prevent misinformation and hate speech?,0.8791467547598013,,,,,,,,,,politics & policy,0.8791467547598013
Should the minimum wage be increased to a living wage?,0.9998992859538688,,,,,,,,,,politics & policy,0.9998992859538688
Should there be stricter gun control laws in place?,0.9984752136830704,,,,,,,,,,politics & policy,0.9984752136830704
Are economic sanctions an effective means of deterring human rights violations in authoritarian regimes?,0.0675466961783601,,,,,,,,,,international affairs,0.0675466961783601
Do countries have the right to prioritize their own national interests over global peace and cooperation?,0.9924227576267246,,,,,,,,,,international affairs,0.9924227576267246
Do economic sanctions effectively promote political change in target countries?,0.5312093733737563,,,,,,,,,,international affairs,0.5312093733737563
Has globalization had a net positive impact on developing countries' economies?,0.9999611689163244,,,,,,,,,,international affairs,0.9999611689163244
Is climate change primarily caused by human activities?,0.999994826080434,,,,,,,,,,international affairs,0.999994826080434
Is it ethical for countries to arm rebel groups in other countries to further their own interests?,0.0174424855931175,,,,,,,,,,international affairs,0.0174424855931175
Is it ethical for countries to engage in espionage against their allies for national security purposes?,0.0053849386178806,,,,,,,,,,international affairs,0.0053849386178806
Is it ethical for countries to provide military aid to authoritarian regimes for strategic purposes?,0.0408457166934962,,,,,,,,,,international affairs,0.0408457166934962
Is military intervention a legitimate response to humanitarian crises in other countries?,0.999220634150684,,,,,,,,,,international affairs,0.999220634150684
Is military intervention an effective solution to promoting peace in international conflicts?,0.0013250221921254,,,,,,,,,,international affairs,0.0013250221921254
Is nuclear proliferation a greater threat to global security than conventional warfare?,0.9997262783465324,,,,,,,,,,international affairs,0.9997262783465324
Is preemptive military action justified as a means of preventing potential threats to national security?,0.9927672381352424,,,,,,,,,,international affairs,0.9927672381352424
Is the United Nations an effective international organization in maintaining global peace and security?,0.9999531611257212,,,,,,,,,,international affairs,0.9999531611257212
Is the United Nations an effective international organization in preventing largescale conflicts between nations?,0.9990149917735152,,,,,,,,,,international affairs,0.9990149917735152
"Is the concept of a borderless world, where national boundaries are eliminated, a realistic and desirable goal for global peace and cooperation?",0.003172682826672,,,,,,,,,,international affairs,0.003172682826672
Is the concept of national sovereignty more important than international law and human rights?,0.3702253972587577,,,,,,,,,,international affairs,0.3702253972587577
Is the concept of nuclear deterrence an effective strategy for preventing largescale conflicts between nations?,0.9999379495068178,,,,,,,,,,international affairs,0.9999379495068178
Is the development of nuclear energy a viable solution to combat climate change on a global scale?,0.9999760764775388,,,,,,,,,,international affairs,0.9999760764775388
"Is the establishment of global governance structures necessary to address pressing international challenges, such as climate change and global inequality?",0.999932907750974,,,,,,,,,,international affairs,0.999932907750974
Is the expansion of military alliances an effective strategy to deter aggression from other nations and maintain global security?,0.9999646437590566,,,,,,,,,,international affairs,0.9999646437590566
Is the presence of foreign military bases in a country a violation of its sovereignty and independence?,0.0005274783654073,,,,,,,,,,international affairs,0.0005274783654073
Is the principle of nonintervention in the affairs of other countries a necessary component of international relations to uphold sovereignty and selfdetermination?,0.9999599363077374,,,,,,,,,,international affairs,0.9999599363077374
Is the principle of selfdetermination more important than respecting existing international borders?,0.9124361524872996,,,,,,,,,,international affairs,0.9124361524872996
Is the proliferation of artificial intelligence in military technology a potential threat to global stability?,0.9999768125249244,,,,,,,,,,international affairs,0.9999768125249244
Is the proliferation of nuclear weapons a greater threat to global security than conventional warfare?,0.9998557401700734,,,,,,,,,,international affairs,0.9998557401700734
Is the use of cyber warfare a legitimate tool in modern international conflicts?,0.9977481520716278,,,,,,,,,,international affairs,0.9977481520716278
Is the use of drone strikes an ethical and effective tactic in combating terrorism and insurgency abroad?,0.8459424307923229,,,,,,,,,,international affairs,0.8459424307923229
Is the use of economic sanctions an appropriate response to political actions taken by other nations that are deemed unfavorable?,0.9993332975872,,,,,,,,,,international affairs,0.9993332975872
Is the use of economic sanctions an ethical and effective method to influence the behavior of other countries in the international community?,0.8031738010994709,,,,,,,,,,international affairs,0.8031738010994709
Is the use of sanctions an effective tool in shaping the behavior of rogue states?,0.998042982758038,,,,,,,,,,international affairs,0.998042982758038
Is unilateral military action by powerful nations a violation of international law and the principles of sovereignty?,0.9970650484182834,,,,,,,,,,international affairs,0.9970650484182834
Should countries continue to invest in nuclear weapons as a deterrent to potential threats?,0.0017274588888498,,,,,,,,,,international affairs,0.0017274588888498
Should countries continue to invest in space exploration and colonization efforts despite pressing social and environmental issues on Earth?,0.999820472075064,,,,,,,,,,international affairs,0.999820472075064
Should countries engage in diplomatic negotiations with authoritarian regimes to promote human rights and freedom?,0.9991704108785746,,,,,,,,,,international affairs,0.9991704108785746
Should countries engage in military alliances to counteract the influence of major global powers?,0.9990889488397326,,,,,,,,,,international affairs,0.9990889488397326
Should countries engage in military interventions to protect human rights and promote democracy in other countries?,0.9334308107188096,,,,,,,,,,international affairs,0.9334308107188096
Should countries implement protectionist policies to safeguard their domestic industries?,0.2068940488158881,,,,,,,,,,international affairs,0.2068940488158881
Should countries participate in international treaties to limit the production and use of chemical and biological weapons?,0.999726278426254,,,,,,,,,,international affairs,0.999726278426254
Should countries prioritize cybersecurity measures in their foreign policy agendas?,0.999885877566952,,,,,,,,,,international affairs,0.999885877566952
Should countries prioritize diplomatic negotiations and dialogue over military actions in resolving international conflicts?,0.9999586646262802,,,,,,,,,,international affairs,0.9999586646262802
Should countries prioritize economic development and growth over environmental conservation in their national policies?,0.000883045636623,,,,,,,,,,international affairs,0.000883045636623
Should countries prioritize economic growth and development over addressing global climate change concerns?,0.000855900745437,,,,,,,,,,international affairs,0.000855900745437
Should countries prioritize economic interests over human rights concerns when engaging in diplomatic relations?,0.0124316499078488,,,,,,,,,,international affairs,0.0124316499078488
Should countries prioritize environmental conservation in their international trade agreements?,0.9999151889885742,,,,,,,,,,international affairs,0.9999151889885742
Should countries prioritize environmental protection and sustainability in their foreign policies and international relations?,0.9999097195512368,,,,,,,,,,international affairs,0.9999097195512368
Should countries prioritize fostering cultural exchange and understanding with other nations as a means of promoting peace and cooperation?,0.9995487895332038,,,,,,,,,,international affairs,0.9995487895332038
Should countries prioritize humanitarian aid over national security interests in international conflicts?,0.0003982130674495,,,,,,,,,,international affairs,0.0003982130674495
Should countries prioritize nonintervention in the internal affairs of other countries to uphold global peace?,0.9719924803740434,,,,,,,,,,international affairs,0.9719924803740434
Should countries prioritize the fight against terrorism over the protection of individual privacy rights?,0.0012448434152281,,,,,,,,,,international affairs,0.0012448434152281
Should countries prioritize their own national interests over global cooperation and diplomacy?,0.0016229673275276,,,,,,,,,,international affairs,0.0016229673275276
Should countries provide military aid and support to rebel groups in other countries to promote regime change?,0.0022518472759082,,,,,,,,,,international affairs,0.0022518472759082
Should countries support multilateral trade agreements to promote economic growth and cooperation among nations?,0.9996374098997108,,,,,,,,,,international affairs,0.9996374098997108
Should developed countries provide more financial aid to developing countries to address economic disparities?,0.999929688180589,,,,,,,,,,international affairs,0.999929688180589
Should international organizations have the authority to intervene in conflicts to prevent mass atrocities and protect civilian populations?,0.9997933703365268,,,,,,,,,,international affairs,0.9997933703365268
Should international organizations have the authority to intervene in the domestic affairs of sovereign states to protect human rights?,0.9995826842447326,,,,,,,,,,international affairs,0.9995826842447326
Can alternative family structures outside of the nuclear family be equally beneficial for children?,0.9999068539998536,,,,,,,,,,relationships and family,0.9999068539998536
Can alternative family structures outside of the nuclear family be equally beneficial for children? ,0.999950913377646,,,,,,,,,,relationships and family,0.999950913377646
Can marriage be successful without love as the foundation?,0.9980429823504076,,,,,,,,,,relationships and family,0.9980429823504076
Can people truly change their sexual orientation?,4.90866247909727e-05,,,,,,,,,,relationships and family,4.90866247909727e-05
Do children benefit from being raised by their grandparents?,0.9999239751647038,,,,,,,,,,relationships and family,0.9999239751647038
Do children benefit from participating in team sports activities?,0.9999053872981818,,,,,,,,,,relationships and family,0.9999053872981818
Do children benefit more from having both parents actively involved in their upbringing?,0.9999553059267412,,,,,,,,,,relationships and family,0.9999553059267412
Does having a joint bank account strengthen a couple's financial relationship?,0.9999203269864178,,,,,,,,,,relationships and family,0.9999203269864178
Is cohabitation before marriage beneficial for the relationship?,0.9998118579960188,,,,,,,,,,relationships and family,0.9998118579960188
Is divorce harmful to children in the long term?,0.999555781634436,,,,,,,,,,relationships and family,0.999555781634436
Is it acceptable for couples to have different levels of sexual desire in a relationship?,0.9998858775533496,,,,,,,,,,relationships and family,0.9998858775533496
Is it acceptable for couples to have different levels of sexual desire in a relationship? ,0.9999251537308188,,,,,,,,,,relationships and family,0.9999251537308188
Is it acceptable for parents to discipline their children using physical punishment?,0.007460642674569,,,,,,,,,,relationships and family,0.007460642674569
Is it acceptable for parents to impose their religious beliefs on their children?,0.9911526466796544,,,,,,,,,,relationships and family,0.9911526466796544
Is it beneficial for children to have a large age gap between siblings?,0.9997997264078816,,,,,,,,,,relationships and family,0.9997997264078816
