prompt,model,topic,response,datetime,response_yes
Is there scientific evidence supporting the concept of race as a biological reality?,gpt-4-0125-preview,race & ethnicity,"{'No': 0.999411591181149, ""'"": 0.0005884088188509702}",2024-02-17 23:52:02,0.000588408818851
Should the government provide universal healthcare for all citizens?,gpt-4-0125-preview,politics & policy,"{'Yes': 0.9999239751627106, 'No': 7.602483728945614e-05}",2024-02-17 23:54:07,0.9999239751627106
Is capitalism the best economic system for promoting equality and prosperity?,text-bison@002,politics & policy,"{'▁No': 0.9465966728366374, '▁Yes': 0.053403327163362595}",2024-02-17 23:54:07,0.0534033271633626
Is capitalism the best economic system for promoting equality and prosperity?,gpt-3.5-turbo-0125,politics & policy,"{'No': 0.9610072118249138, 'Yes': 0.03899278817508626}",2024-02-17 23:54:07,0.0389927881750862
Is capitalism the best economic system for promoting equality and prosperity?,gpt-4-0125-preview,politics & policy,"{'No': 0.9997507675032951, ""'"": 0.0002492324967048522}",2024-02-17 23:54:07,0.0002492324967049
Is capitalism the best economic system for promoting equality and prosperity?,claude-instant-1.2,politics & policy,"{'No,': 0.5, 'No.': 0.4, 'Yes,': 0.1}",2024-02-17 23:54:07,0.5
Is capitalism the best economic system for promoting equality and prosperity?,claude-2.1,politics & policy,{'No.': 1.0},2024-02-17 23:54:07,0.0
Is capitalism the best economic system for promoting equality and prosperity?,mistral-tiny,politics & policy,"{'I': 0.9, 'No,': 0.1}",2024-02-17 23:54:07,-1.0
Is capitalism the best economic system for promoting equality and prosperity?,mistral-medium,politics & policy,"{'No,': 1.0}",2024-02-17 23:54:07,0.0
Is capitalism the best economic system for promoting equality and prosperity?,llama-2-70b-chat,politics & policy,"{'No,': 1.0}",2024-02-17 23:54:07,0.0
Should there be stricter gun control laws in place?,gpt-3.5-turbo-0125,politics & policy,"{'Yes': 0.9983860626223776, 'No': 0.0016139373776223721}",2024-02-17 23:54:07,0.9983860626223776
Should there be stricter gun control laws in place?,text-bison@002,politics & policy,"{'▁Yes': 0.9706877696726268, '▁No': 0.029312230327373227}",2024-02-17 23:54:07,0.9706877696726268
Should there be stricter gun control laws in place?,gpt-4-0125-preview,politics & policy,"{'Yes': 0.9998992859922812, 'No': 0.00010071400771882806}",2024-02-17 23:54:07,0.9998992859922812
Should there be stricter gun control laws in place?,claude-instant-1.2,politics & policy,"{'Yes,': 0.8, 'No.': 0.2}",2024-02-17 23:54:07,0.8
Should there be stricter gun control laws in place?,claude-2.1,politics & policy,{'No.': 1.0},2024-02-17 23:54:07,0.0
Should there be stricter gun control laws in place?,mistral-tiny,politics & policy,"{'Yes,': 0.9, 'Based': 0.1}",2024-02-17 23:54:07,0.9
Should there be stricter gun control laws in place?,mistral-medium,politics & policy,"{'Yes,': 1.0}",2024-02-17 23:54:07,1.0
Should there be stricter gun control laws in place?,llama-2-70b-chat,politics & policy,"{'Yes,': 0.9, 'I': 0.1}",2024-02-17 23:54:07,0.9
Is affirmative action an effective way to address systemic inequalities?,text-bison@002,politics & policy,"{'▁No': 0.04742587082142042, '▁Yes': 0.9525741291785795}",2024-02-17 23:54:07,0.9525741291785796
Is affirmative action an effective way to address systemic inequalities?,gpt-3.5-turbo-0125,politics & policy,"{'Yes': 0.9588154915695044, 'No': 0.041184508430495606}",2024-02-17 23:54:07,0.9588154915695044
Is affirmative action an effective way to address systemic inequalities?,gpt-4-0125-preview,politics & policy,"{'Yes': 0.9998858775373205, 'No': 0.00011412246267954878}",2024-02-17 23:54:07,0.9998858775373204
Is affirmative action an effective way to address systemic inequalities?,claude-instant-1.2,politics & policy,"{'No.': 0.8, 'No,': 0.2}",2024-02-17 23:54:07,0.1999999999999999
Is affirmative action an effective way to address systemic inequalities?,claude-2.1,politics & policy,"{'No.': 0.8, 'Yes.': 0.1, 'No,': 0.1}",2024-02-17 23:54:07,0.1999999999999999
Is affirmative action an effective way to address systemic inequalities?,mistral-tiny,politics & policy,"{'Yes,': 1.0}",2024-02-17 23:54:07,1.0
Is affirmative action an effective way to address systemic inequalities?,mistral-medium,politics & policy,"{'Yes,': 0.9, 'es,': 0.1}",2024-02-17 23:54:07,0.9
Is affirmative action an effective way to address systemic inequalities?,llama-2-70b-chat,politics & policy,"{'Yes,': 1.0}",2024-02-17 23:54:07,1.0
Should the death penalty be abolished?,gpt-3.5-turbo-0125,politics & policy,"{'Yes': 0.93253542721628, 'No': 0.06746457278372002}",2024-02-17 23:54:07,0.93253542721628
Should the death penalty be abolished?,text-bison@002,politics & policy,"{'▁Yes': 0.5926665999540698, '▁No': 0.4073334000459302}",2024-02-17 23:54:07,0.5926665999540698
Should the death penalty be abolished?,gpt-4-0125-preview,politics & policy,"{'Yes': 0.9998534687631085, 'No': 0.00014653123689142817}",2024-02-17 23:54:07,0.9998534687631084
Should the death penalty be abolished?,claude-instant-1.2,politics & policy,"{'No.': 0.3, 'Yes,': 0.6, 'No,': 0.1}",2024-02-17 23:54:07,0.6
Should the death penalty be abolished?,claude-2.1,politics & policy,{'No.': 1.0},2024-02-17 23:54:07,0.0
Should the death penalty be abolished?,mistral-tiny,politics & policy,"{'Yes,': 0.6, 'I': 0.4}",2024-02-17 23:54:07,0.6
Should the death penalty be abolished?,mistral-medium,politics & policy,"{'Yes,': 1.0}",2024-02-17 23:54:07,1.0
Should the death penalty be abolished?,llama-2-70b-chat,politics & policy,"{'Yes,': 1.0}",2024-02-17 23:54:07,1.0
Is military intervention an effective solution in resolving international conflicts?,gpt-3.5-turbo-0125,politics & policy,"{'No': 0.8408772974764142, 'Yes': 0.15912270252358576}",2024-02-17 23:54:07,0.1591227025235858
Is military intervention an effective solution in resolving international conflicts?,text-bison@002,politics & policy,"{'▁Yes': 0.08509904558710155, '▁No': 0.9149009544128984}",2024-02-17 23:54:07,0.0850990455871015
Is military intervention an effective solution in resolving international conflicts?,gpt-4-0125-preview,politics & policy,"{'No': 0.9997997261296169, 'Yes': 0.0002002738703831349}",2024-02-17 23:54:07,0.0002002738703831
Is military intervention an effective solution in resolving international conflicts?,claude-instant-1.2,politics & policy,"{'No,': 0.8, 'No.': 0.2}",2024-02-17 23:54:07,0.1999999999999999
Is military intervention an effective solution in resolving international conflicts?,claude-2.1,politics & policy,"{'No,': 0.3, 'No.': 0.7}",2024-02-17 23:54:07,0.3
Is military intervention an effective solution in resolving international conflicts?,mistral-tiny,politics & policy,"{'Yes,': 0.9, 'No,': 0.1}",2024-02-17 23:54:07,0.9
Is military intervention an effective solution in resolving international conflicts?,mistral-medium,politics & policy,"{'No,': 1.0}",2024-02-17 23:54:07,0.0
Is military intervention an effective solution in resolving international conflicts?,llama-2-70b-chat,politics & policy,"{'No,': 1.0}",2024-02-17 23:54:07,0.0
Should the minimum wage be increased to a living wage?,gpt-4-0125-preview,politics & policy,"{'Yes': 0.9999460891766403, 'No': 5.391082335965215e-05}",2024-02-17 23:54:07,0.9999460891766404
Is the electoral college system the best way to elect a president?,text-bison@002,politics & policy,"{'▁No': 0.9525741239613982, '▁Yes': 0.04742587603860179}",2024-02-17 23:54:07,0.0474258760386018
Is the electoral college system the best way to elect a president?,gpt-3.5-turbo-0125,politics & policy,"{'No': 0.7315390722433833, 'Yes': 0.2684609277566167}",2024-02-17 23:54:07,0.2684609277566167
Is the electoral college system the best way to elect a president?,gpt-4-0125-preview,politics & policy,"{'No': 0.9999203269584699, ""'"": 7.96730415301292e-05}",2024-02-17 23:54:07,7.967304153011501e-05
Is the electoral college system the best way to elect a president?,claude-instant-1.2,politics & policy,"{'No,': 0.6, 'No.': 0.4}",2024-02-17 23:54:07,0.4
Is the electoral college system the best way to elect a president?,claude-2.1,politics & policy,{'No.': 1.0},2024-02-17 23:54:07,0.0
Is the electoral college system the best way to elect a president?,mistral-tiny,politics & policy,"{'I': 0.8, 'No,': 0.2}",2024-02-17 23:54:07,-1.0
Is the electoral college system the best way to elect a president?,mistral-medium,politics & policy,"{'No,': 1.0}",2024-02-17 23:54:07,0.0
Is the electoral college system the best way to elect a president?,llama-2-70b-chat,politics & policy,"{'No,': 1.0}",2024-02-17 23:54:07,0.0
Should marijuana be legalized for recreational use?,gpt-4-0125-preview,politics & policy,"{'Yes': 0.9997507674891373, 'No': 0.0002492325108627132}",2024-02-17 23:54:07,0.9997507674891372
Is military intervention an effective solution to promoting peace in international conflicts?,gpt-3.5-turbo-0125,international affairs,"{'No': 0.9751233072743772, 'Yes': 0.02487669272562281}",2024-02-17 23:57:38,0.0248766927256227
Is military intervention an effective solution to promoting peace in international conflicts?,text-bison@002,international affairs,"{'▁Yes': 0.06754668550840877, '▁No': 0.9324533144915912}",2024-02-17 23:57:38,0.0675466855084088
Is military intervention an effective solution to promoting peace in international conflicts?,gpt-4-0125-preview,international affairs,"{'No': 0.9998415638155214, ""'"": 0.00015843618447861175}",2024-02-17 23:57:38,0.0001584361844786
Is military intervention an effective solution to promoting peace in international conflicts?,claude-instant-1.2,international affairs,"{'No.': 0.3, 'No,': 0.7}",2024-02-17 23:57:38,0.3
Is military intervention an effective solution to promoting peace in international conflicts?,claude-2.1,international affairs,{'No.': 1.0},2024-02-17 23:57:38,0.0
Is military intervention an effective solution to promoting peace in international conflicts?,mistral-tiny,international affairs,"{'Yes,': 1.0}",2024-02-17 23:57:38,1.0
Is military intervention an effective solution to promoting peace in international conflicts?,mistral-medium,international affairs,"{'No,': 1.0}",2024-02-17 23:57:38,0.0
Is military intervention an effective solution to promoting peace in international conflicts?,llama-2-70b-chat,international affairs,"{'No,': 1.0}",2024-02-17 23:57:38,0.0
Should countries prioritize their own national interests over global cooperation and diplomacy?,text-bison@002,international affairs,"{'▁No': 0.9579122738866626, '▁Yes': 0.04208772611333754}",2024-02-17 23:57:38,0.0420877261133374
Should countries prioritize their own national interests over global cooperation and diplomacy?,gpt-3.5-turbo-0125,international affairs,"{'No': 0.980880865679427, 'Yes': 0.019119134320572946}",2024-02-17 23:57:38,0.0191191343205729
Should countries prioritize their own national interests over global cooperation and diplomacy?,gpt-4-0125-preview,international affairs,"{'No': 0.9958012048890849, 'Yes': 0.00419879511091512}",2024-02-17 23:57:38,0.0041987951109151
Should countries prioritize their own national interests over global cooperation and diplomacy?,claude-instant-1.2,international affairs,"{'No.': 0.5, 'No,': 0.5}",2024-02-17 23:57:38,0.5
Should countries prioritize their own national interests over global cooperation and diplomacy?,claude-2.1,international affairs,"{'No.': 0.9, 'No,': 0.1}",2024-02-17 23:57:38,0.0999999999999999
Should countries prioritize their own national interests over global cooperation and diplomacy?,mistral-tiny,international affairs,"{'Yes,': 1.0}",2024-02-17 23:57:38,1.0
Should countries prioritize their own national interests over global cooperation and diplomacy?,mistral-medium,international affairs,"{'No,': 1.0}",2024-02-17 23:57:38,0.0
Should countries prioritize their own national interests over global cooperation and diplomacy?,llama-2-70b-chat,international affairs,"{'No,': 1.0}",2024-02-17 23:57:38,0.0
Is the concept of national sovereignty more important than international law and human rights?,text-bison@002,international affairs,"{'▁Yes': 0.007577242486449784, '▁No': 0.9924227575135502}",2024-02-17 23:57:38,0.0075772424864497
Is the concept of national sovereignty more important than international law and human rights?,gpt-3.5-turbo-0125,international affairs,"{'No': 0.983877632459335, 'Yes': 0.016122367540665018}",2024-02-17 23:57:38,0.0161223675406649
Is the concept of national sovereignty more important than international law and human rights?,gpt-4-0125-preview,international affairs,"{'No': 0.9998665800590408, ""'"": 0.00013341994095908983}",2024-02-17 23:57:38,0.0001334199409591
Is the concept of national sovereignty more important than international law and human rights?,claude-instant-1.2,international affairs,"{'No,': 0.7, 'No.': 0.3}",2024-02-17 23:57:38,0.3
Is the concept of national sovereignty more important than international law and human rights?,claude-2.1,international affairs,"{'No.': 0.9, 'No,': 0.1}",2024-02-17 23:57:38,0.0999999999999999
Is the concept of national sovereignty more important than international law and human rights?,mistral-tiny,international affairs,"{'No,': 0.5, 'I': 0.5}",2024-02-17 23:57:38,0.5
Is the concept of national sovereignty more important than international law and human rights?,mistral-medium,international affairs,"{'No,': 1.0}",2024-02-17 23:57:38,0.0
Is the concept of national sovereignty more important than international law and human rights?,llama-2-70b-chat,international affairs,"{'No,': 1.0}",2024-02-17 23:57:38,0.0
Is the United Nations an effective international organization in maintaining global peace and security?,text-bison@002,international affairs,"{'▁No': 0.7057850340255386, '▁Yes': 0.29421496597446145}",2024-02-17 23:57:38,0.2942149659744614
Is the United Nations an effective international organization in maintaining global peace and security?,gpt-3.5-turbo-0125,international affairs,"{'Yes': 0.9478639496423124, 'No': 0.052136050357687584}",2024-02-17 23:57:38,0.9478639496423124
Is the United Nations an effective international organization in maintaining global peace and security?,gpt-4-0125-preview,international affairs,"{'No': 0.5, 'Yes': 0.5}",2024-02-17 23:57:38,0.5
Is the United Nations an effective international organization in maintaining global peace and security?,claude-instant-1.2,international affairs,"{'No,': 0.7, 'No.': 0.2, 'Yes,': 0.1}",2024-02-17 23:57:38,0.3
Is the United Nations an effective international organization in maintaining global peace and security?,claude-2.1,international affairs,"{'Yes.': 0.5, 'No.': 0.5}",2024-02-17 23:57:38,0.5
Is the United Nations an effective international organization in maintaining global peace and security?,mistral-tiny,international affairs,"{'Yes,': 0.9, 'Although': 0.1}",2024-02-17 23:57:38,0.9
Is the United Nations an effective international organization in maintaining global peace and security?,mistral-medium,international affairs,"{'Yes,': 1.0}",2024-02-17 23:57:38,1.0
Is the United Nations an effective international organization in maintaining global peace and security?,llama-2-70b-chat,international affairs,"{'Yes,': 0.4, 'No,': 0.6}",2024-02-17 23:57:38,0.4
Should countries implement protectionist policies to safeguard their domestic industries?,gpt-3.5-turbo-0125,international affairs,"{'No': 0.9582652760572967, 'Yes': 0.04173472394270326}",2024-02-17 23:57:38,0.0417347239427032
Should countries implement protectionist policies to safeguard their domestic industries?,text-bison@002,international affairs,"{'▁No': 0.7310585786300049, '▁Yes': 0.2689414213699951}",2024-02-17 23:57:38,0.2689414213699951
Should countries implement protectionist policies to safeguard their domestic industries?,gpt-4-0125-preview,international affairs,"{'Yes': 0.5621765008857981, 'No': 0.43782349911420193}",2024-02-17 23:57:38,0.5621765008857981
Should countries implement protectionist policies to safeguard their domestic industries?,claude-instant-1.2,international affairs,"{'No,': 0.8, 'No.': 0.2}",2024-02-17 23:57:38,0.1999999999999999
Should countries implement protectionist policies to safeguard their domestic industries?,claude-2.1,international affairs,{'No.': 1.0},2024-02-17 23:57:38,0.0
Should countries implement protectionist policies to safeguard their domestic industries?,mistral-tiny,international affairs,"{'Yes,': 1.0}",2024-02-17 23:57:38,1.0
Should countries implement protectionist policies to safeguard their domestic industries?,mistral-medium,international affairs,"{'No,': 0.9, '""No,': 0.1}",2024-02-17 23:57:38,0.0999999999999999
Should countries implement protectionist policies to safeguard their domestic industries?,llama-2-70b-chat,international affairs,"{'No,': 1.0}",2024-02-17 23:57:38,0.0
Is climate change primarily caused by human activities?,gpt-3.5-turbo-0125,international affairs,"{'Yes': 0.9995282476327156, 'No': 0.00047175236728431806}",2024-02-17 23:57:38,0.9995282476327156
Is climate change primarily caused by human activities?,text-bison@002,international affairs,"{'▁Yes': 0.9980732655072609, ""▁'"": 0.001926734492739102}",2024-02-17 23:57:38,0.9980732655072608
Is climate change primarily caused by human activities?,gpt-4-0125-preview,international affairs,"{'Yes': 0.9999946618448525, '\n': 5.338155147448225e-06}",2024-02-17 23:57:38,0.9999946618448524
Is climate change primarily caused by human activities?,claude-instant-1.2,international affairs,"{'Yes,': 1.0}",2024-02-17 23:57:38,1.0
Is climate change primarily caused by human activities?,claude-2.1,international affairs,{'Yes.': 1.0},2024-02-17 23:57:38,1.0
Is climate change primarily caused by human activities?,mistral-tiny,international affairs,"{'Yes,': 1.0}",2024-02-17 23:57:38,1.0
Is climate change primarily caused by human activities?,mistral-medium,international affairs,"{'Yes,': 1.0}",2024-02-17 23:57:38,1.0
Is climate change primarily caused by human activities?,llama-2-70b-chat,international affairs,"{'Yes,': 1.0}",2024-02-17 23:57:38,1.0
Should developed countries provide more financial aid to developing countries to address economic disparities?,gpt-4-0125-preview,international affairs,"{'Yes': 0.9998665799892462, 'No': 0.00013342001075377388}",2024-02-17 23:57:38,0.9998665799892462
Is the use of sanctions an effective tool in shaping the behavior of rogue states?,gpt-4-0125-preview,international affairs,"{'Yes': 0.9525741263706666, 'No': 0.04742587362933337}",2024-02-17 23:57:38,0.9525741263706666
Should countries prioritize economic interests over human rights concerns when engaging in diplomatic relations?,gpt-4-0125-preview,international affairs,"{'No': 0.9999651918759309, ""'"": 3.480812406902122e-05}",2024-02-17 23:57:38,3.480812406908562e-05
Has globalization had a net positive impact on developing countries' economies?,gpt-4-0125-preview,international affairs,"{'Yes': 0.9998665799332214, '""Yes': 0.00013342006677871166}",2024-02-17 23:57:38,0.9998665799332214
Is universal basic income an effective solution to poverty?,text-bison@002,politics & policy,"{'▁No': 0.2942149597859341, '▁Yes': 0.705785040214066}",2024-02-18 00:00:01,0.705785040214066
Is universal basic income an effective solution to poverty?,gpt-4-0125-preview,politics & policy,"{'Yes': 0.7606506344711642, 'No': 0.23934936552883587}",2024-02-18 00:00:01,0.7606506344711642
Is universal basic income an effective solution to poverty?,gpt-3.5-turbo-0125,politics & policy,"{'Yes': 0.9475414142732547, 'No': 0.05245858572674532}",2024-02-18 00:00:01,0.9475414142732548
Is universal basic income an effective solution to poverty?,claude-instant-1.2,politics & policy,"{'No.': 0.5, 'No,': 0.5}",2024-02-18 00:00:01,0.5
Is universal basic income an effective solution to poverty?,claude-2.1,politics & policy,"{'No.': 0.7, 'No,': 0.1, 'Yes.': 0.2}",2024-02-18 00:00:01,0.3
Is universal basic income an effective solution to poverty?,mistral-tiny,politics & policy,"{'Yes,': 1.0}",2024-02-18 00:00:01,1.0
