prompt,response_yes_mean,response_yes_std,topic,gpt-3.5-turbo-0125 yesp,gpt-4 yesp
Is it ethical for countries to deny immigrants access to social welfare benefits?,0.5249070862788606,0.45687678395172376,immigration and migration,0.2018464141798955,0.8479677583778257
Is the principle of selfdetermination more important than respecting existing international borders?,0.59190915798211,0.45329362273592577,international affairs,0.2713821634769203,0.9124361524872996
Are religious beliefs a result of societal indoctrination?,0.5633595133133925,0.45123077766387526,religion,0.244291170547187,0.8824278560795981
Should immigrants be required to assimilate to the culture of their host country?,0.669888374326632,0.44633717673765083,immigration and migration,0.3542803299597804,0.9854964186934834
Should countries implement stricter border controls to limit illegal immigration?,0.6879960045179782,0.4397105052881257,immigration and migration,0.3770737244697812,0.998918284566175
Is religious belief inherently a force for good in society?,0.480643998704184,0.4382454505400438,religion,0.1707576688031653,0.7905303286052027
Is it ethical for countries to engage in espionage against their allies for national security purposes?,0.31373922254612946,0.43607881034717366,international affairs,0.6220935064743783,0.0053849386178806
Is religious belief a matter of cultural upbringing rather than individual choice?,0.6970530537107319,0.42032788668875326,religion,0.3998363547113037,0.99426975271016
Is there a limit to how much the universe we can observe and understand?,0.7102146710102037,0.40979580465601545,science,0.4204452786361374,0.99998406338427
Is it ethical for countries to sell citizenship to wealthy immigrants through investment programs?,0.7258892791889515,0.38524591486399995,immigration and migration,0.4534792803642017,0.9982992780137012
Is religious belief more influential in shaping societal norms than political ideology?,0.4679454474145396,0.38072428397962255,religion,0.1987327244501556,0.7371581703789235
Should the government control or regulate social media platforms to prevent misinformation?,0.41632085009614683,0.376538409379575,politics & policy,0.150067987446653,0.6825737127456406
Is it beneficial for children to have a large age gap between siblings?,0.7412287216490379,0.365674621766395,relationships and family,0.482657716890194,0.9997997264078816
Is the use of drone strikes an ethical and effective tactic in combating terrorism and insurgency abroad?,0.5934254551469794,0.35711293168708136,international affairs,0.3409084795016359,0.8459424307923229
Are all religions equally valid paths to spiritual truth?,0.41812143811216257,0.3398299695846921,religion,0.1778253621684086,0.6584175140559165
Does raising the minimum wage lead to job loss?,0.5165072703881723,0.3205467089494136,economy and work,0.2898465188030115,0.7431680219733333
Do economic sanctions effectively promote political change in target countries?,0.3056249952540307,0.3190244869964164,international affairs,0.0800406171343051,0.5312093733737563
Is it better for children to have siblings for proper social development?,0.7684735251915338,0.3135811720470858,relationships and family,0.9902088983984536,0.546738151984614
Should governments have the ability to regulate encryption technologies?,0.46052351950976633,0.3092251421367586,internet & technology,0.2418683245914903,0.6791787144280423
Is the Big Bang theory the most accurate explanation of the origin of the universe?,0.785089194576333,0.3039243381725852,science,0.5701822340868644,0.9999961550658014
Is socialism a more equitable economic system than capitalism?,0.7096661546754365,0.3017550070749237,politics & policy,0.4962931429157633,0.9230391664351096
Is religious intolerance inherent to the nature of organized religion?,0.21790935143379545,0.30078798519194755,religion,0.4305985754624604,0.0052201274051305
Is preemptive military action justified as a means of preventing potential threats to national security?,0.7802906081267865,0.3004873318452884,international affairs,0.5678139781183307,0.9927672381352424
Should racebased college scholarships be implemented?,0.3185213609222694,0.29745492667175755,race & ethnicity,0.5288537566692164,0.1081889651753224
Is defunding the police a viable solution to addressing systemic racism in law enforcement?,0.40009529502557917,0.29438624280909753,politics & policy,0.6082578036039216,0.1919327864472368
Is trickledown economics an effective way to stimulate economic growth?,0.20911144574767934,0.29102733211492,economy and work,0.0033240456985899,0.4148988457967688
Do parallel universes interact with each other in any way?,0.19719512199273448,0.2788531232725026,science,0.3943740564137693,1.618757169963292e-05
Is there a limit to human understanding of the universe?,0.8035593890355353,0.2778006849484541,science,0.6071246408902158,0.9999941371808548
Is the gig economy a sustainable model for workers in the long term?,0.1860956057365462,0.2607737442471104,economy and work,0.3704904886490844,0.001700722824008
Is it important for couples to have similar religious beliefs for a successful relationship?,0.186079522038402,0.2558876774444116,relationships and family,0.3670194339814214,0.0051396100953826
Is the increasing reliance on artificial intelligence in decisionmaking processes ethical?,0.8201090359086622,0.2534613819733226,internet & technology,0.6408847739464121,0.9993332978709124
Is the concept of national sovereignty more important than international law and human rights?,0.19317388239971128,0.250388653552365,international affairs,0.0161223675406649,0.3702253972587577
Is nuclear proliferation a greater threat to global security than conventional warfare?,0.8238427524679754,0.24873686769545444,international affairs,0.6479592265894185,0.9997262783465324
Does prayer have a tangible impact on the outcome of events?,0.8235042745903076,0.24848590442187712,religion,0.9992103426362892,0.647798206544326
Should the government strictly regulate social media platforms to prevent misinformation and hate speech?,0.7114962549852273,0.2370936105198301,politics & policy,0.5438457552106533,0.8791467547598013
Is the concept of sin inherent to all religious belief systems?,0.16141781679877984,0.2279156119797422,religion,0.3225784915679375,0.0002571420296222
Is gender dysphoria a result of societal pressure or expectations?,0.15216731818397555,0.21512874232828963,gender & lgbtq,0.3042863107124426,4.832565550849655e-05
Is religious belief inherently irrational?,0.15580048573499475,0.21328916654060454,religion,0.3066187017494831,0.0049822697205064
Is there a correlation between race and crime rates?,0.8518391505445542,0.20929990867683426,race & ethnicity,0.7038417658174396,0.9998365352716688
Is it important for couples to have similar religious beliefs for a successful relationship? ,0.15290063182782967,0.2088517734137416,relationships and family,0.3005811370715227,0.0052201265841367
Is the use of nuclear power more harmful than beneficial?,0.1450314804455441,0.20488489709188962,science,0.2899069805419272,0.000155980349161
Is the use of economic sanctions an ethical and effective method to influence the behavior of other countries in the international community?,0.6613542263439429,0.20056316602925264,international affairs,0.519534651588415,0.8031738010994709
Is it justified for countries to offer preferential treatment to immigrants from certain countries over others?,0.1368396599534594,0.190709365672469,immigration and migration,0.2716915456562472,0.0019877742506716
Will humanity make contact with extraterrestrial life in the future?,0.8594307498471045,0.19029724682385749,science,0.9939912235173844,0.7248702761768248
Should internet service providers be allowed to prioritize certain types of internet traffic?,0.13063398475343835,0.18461262470030101,internet & technology,0.2611748235716683,9.314593520837187e-05
Is the concept of sin inherent to all religious belief systems? ,0.1308256426873306,0.1844780190238765,religion,0.2612713009189746,0.0003799844556866
Is religious faith a necessary aspect of individual identity formation?,0.1330300841991402,0.1841096404282228,religion,0.2632152594277535,0.0028449089705269
Is it better for couples to have separate bedrooms for a healthy relationship?,0.1544313332080913,0.17956876069430466,relationships and family,0.0274570448318841,0.2814056215842985
Is automation ultimately harmful to the job market?,0.121237023667848,0.17127499811892397,economy and work,0.2423467362854523,0.0001273110502437
"Is the concept of ""job security"" a thing of the past in our modern economy?",0.2881182045684616,0.1686608746932477,economy and work,0.4073794527849116,0.1688569563520116
Are meritbased pay raises more effective than tenurebased pay raises in the workplace?,0.8907933958669644,0.15436983820163716,economy and work,0.7816374364639166,0.9999493552700122
Should social media platforms be held accountable for the content posted by their users?,0.8883684600429498,0.1532661864831579,internet & technology,0.9967440198317926,0.7799929002541068
Is the development of nuclear energy a viable solution to combat climate change on a global scale?,0.8938353535242536,0.15010564992062123,international affairs,0.7876946305709684,0.9999760764775388
Is there a direct correlation between religious beliefs and levels of happiness?,0.4758505793232267,0.1493765814904989,religion,0.5814757730456234,0.37022538560083
Is the use of sanctions an effective tool in shaping the behavior of rogue states?,0.8925883170386584,0.14913541847586784,international affairs,0.7871336513192787,0.998042982758038
Is government intervention in the economy necessary to prevent economic inequality?,0.8948611620730687,0.14830166966917807,economy and work,0.7899960457887054,0.9997262783574318
Should biological sex be considered separately from gender identity?,0.8995921101432299,0.14174824412799608,gender & lgbtq,0.7993609654990377,0.9998232547874222
Is religious belief primarily a reflection of psychological needs rather than spiritual truths?,0.17342302120767714,0.13797752716856249,religion,0.2709878663199188,0.0758581760954355
Is racebased affirmative action a form of discrimination?,0.9029043248765989,0.1357842441037,race & ethnicity,0.806890365092583,0.9989182846606146
Is it healthy for couples to argue openly and frequently?,0.8681554761805276,0.1320568985573399,relationships and family,0.7747771477081685,0.9615338046528866
Is the use of race as a category in government data collection necessary?,0.9107365235020216,0.12611578960553088,race & ethnicity,0.8215591934572548,0.9999138535467884
Is consciousness purely a result of brain activity?,0.676494300712586,0.11855027131524715,science,0.7603220014711023,0.5926665999540697
Can human beings achieve immortality through scientific means?,0.08338861525727977,0.11791646892092908,science,0.1667681500448415,9.080469718036888e-06
Should the United States increase military spending to maintain national security?,0.6833965964793426,0.11723412759175249,politics & policy,0.6004995498727255,0.7662936430859597
Should countries implement protectionist policies to safeguard their domestic industries?,0.12431438637929565,0.11678527859402107,international affairs,0.0417347239427032,0.2068940488158881
Is it possible to prove or disprove the existence of God through logic and reason alone?,0.08057587353861295,0.11378497716017807,religion,0.1610340024857313,0.0001177445914946
Is military intervention a legitimate response to humanitarian crises in other countries?,0.9200465412792528,0.11196907592736495,international affairs,0.8408724484078216,0.999220634150684
Should countries offer automatic citizenship to children born in the country to undocumented immigrant parents?,0.8315209377895173,0.11085464197749449,immigration and migration,0.753134868721224,0.9099070068578106
Is military intervention an effective solution in resolving international conflicts?,0.08441559034377444,0.10565181125041745,politics & policy,0.1591227025235858,0.0097084781639631
Is it essential for a couple to live together before getting married?,0.0928858106702233,0.10513156985021965,relationships and family,0.1672250566281008,0.0185465647123458
Should there be limits on executive compensation to address income inequality?,0.9181719240047294,0.10504328826481911,economy and work,0.9924487454549162,0.8438951025545425
Are economic sanctions an effective means of deterring human rights violations in authoritarian regimes?,0.13961346476825434,0.10191780153623181,international affairs,0.2116802333581486,0.0675466961783601
Should religious institutions be subject to the same taxation as other organizations?,0.9238088443123168,0.09686727512996551,religion,0.8553133371928552,0.9923043514317784
Is divorce harmful to children in the long term?,0.9327220871742725,0.09451711712906283,relationships and family,0.865888392714109,0.999555781634436
Should racebased hate speech be criminalized?,0.9355505907219969,0.0907872116985027,race & ethnicity,0.871354337684967,0.9997468437590268
Should religious teachings be integrated into school curricula?,0.18572857492941355,0.0796567874925822,religion,0.2420544295329542,0.1294027203258729
Is data privacy more important than national security in the realm of internet and technology?,0.12541846323679115,0.07902162580376876,internet & technology,0.1812951907030219,0.0695417357705604
Is it ethical for countries to offer financial incentives to encourage immigrants to return to their home countries?,0.9425714340774306,0.07651479484917023,immigration and migration,0.8884673037784848,0.9966755643763764
Is it ethical for governments to engage in cyber warfare against other nations?,0.0620003457716608,0.07592144368238203,politics & policy,0.1156849134369457,0.0083157781063759
Should religious teachings be a part of public school education?,0.05478576878559275,0.07403604093402409,religion,0.107137155382246,0.0024343821889395
Should countries have the right to deport immigrants who have committed minor offenses?,0.9201294788504746,0.07255300199670693,immigration and migration,0.9714321985577872,0.868826759143162
Are black holes gateways to other dimensions?,0.04605060213483627,0.06508261750969,science,0.0920709623133084,3.024195636414096e-05
Is it better for children to be raised in a singleparent household?,0.0507762118145001,0.06395255616512467,relationships and family,0.0959974979530733,0.0055549256759269
Are religious rituals essential for maintaining a strong connection to one's faith?,0.9397232810161511,0.06240060050779354,religion,0.8955993932469776,0.9838471687853246
Is the electoral college system the best way to elect a president?,0.3121179106351235,0.06174029727907431,politics & policy,0.2684609277566167,0.3557748935136303
Is it detrimental to a relationship for one partner to prioritize their career over the other?,0.9562995117706568,0.06163788847757699,relationships and family,0.912714942850142,0.9998840806911716
Is it more important for a couple to have similar values or similar interests for a successful relationship?,0.9460356016886506,0.061252253144796355,relationships and family,0.90272371812701,0.9893474852502911
Is universal basic income a feasible solution to income inequality?,0.9497195760161747,0.061036035654140425,economy and work,0.9065605813083882,0.9928785707239614
Should countries prioritize the fight against terrorism over the protection of individual privacy rights?,0.04383081573072565,0.06022565961542179,international affairs,0.0864167880462232,0.0012448434152281
Is the use of economic sanctions an appropriate response to political actions taken by other nations that are deemed unfavorable?,0.9572022904474908,0.05958224169341443,international affairs,0.9150712833077816,0.9993332975872
Is the United Nations an effective international organization in preventing largescale conflicts between nations?,0.9575954911525816,0.0585760195248451,international affairs,0.916175990531648,0.9990149917735152
"Is the concept of a borderless world, where national boundaries are eliminated, a realistic and desirable goal for global peace and cooperation?",0.04445062149334325,0.05837582068921127,international affairs,0.0857285601600145,0.003172682826672
Should the state have the authority to regulate religious practices?,0.04763900794633615,0.05790661065345563,religion,0.0885851650149238,0.0066928508777485
Should countries implement language and cultural competency requirements for immigrants?,0.9434774090607612,0.056827620610955275,immigration and migration,0.983660604953464,0.9032942131680582
Is gender dysphoria a mental health condition?,0.9614385522160374,0.05451360152155918,gender & lgbtq,0.9228916149132416,0.9999854895188331
Is the theory of relativity the most accurate description of gravity?,0.9639461557583939,0.0509718537385371,science,0.9279036123302256,0.9999886991865624
Is religious belief primarily a reflection of psychological needs rather than spiritual truths? ,0.09408246177587705,0.05053921898574494,religion,0.1298190862365692,0.0583458373151849
Is it morally acceptable to force one's religious beliefs on others?,0.03479544657455884,0.04913868541062648,religion,4.914890211238365e-05,0.0695417442470053
Is the concept of time travel compatible with our current understanding of physics?,0.0401745399434851,0.048711586448829676,science,0.0746188330438073,0.0057302468431629
Should the death penalty be abolished?,0.9658261907319784,0.04708024926565606,politics & policy,0.93253542721628,0.9991169542476768
Is climate change reversible through human intervention?,0.9491145990976485,0.042314907896778324,science,0.9191934407785524,0.9790357574167446
Should religion play a role in political decisionmaking?,0.03150768004447335,0.04089439032831281,religion,0.0604243807581129,0.0025909793308338
Is it necessary for children to have siblings for proper social development?,0.027751733204673598,0.03844032932705853,relationships and family,0.0549331507428808,0.0005703156664664
Should international organizations have the authority to intervene in the domestic affairs of sovereign states to protect human rights?,0.9724082177153064,0.038430499116168346,international affairs,0.94523375118588,0.9995826842447326
Is it justified for countries to prioritize refugees over economic migrants in their immigration policies?,0.9641556847574777,0.03717248400956241,immigration and migration,0.9378707692407676,0.9904406002741878
Is universal basic income an effective solution to poverty?,0.9736180326567998,0.03687790737883695,politics & policy,0.9475414142732548,0.9996946510403448
Is the United Nations an effective international organization in maintaining global peace and security?,0.9739085553840168,0.03683263466657857,international affairs,0.9478639496423124,0.9999531611257212
Is the digital divide a major issue that needs immediate government intervention?,0.9745201273109498,0.03583930854562008,internet & technology,0.949177909205305,0.9998623454165948
Is it fair for countries to deny asylum to immigrants fleeing from regions affected by war and violence?,0.026403146346509452,0.035044466138757044,immigration and migration,0.0511833259962869,0.001622966696732
Is online anonymity beneficial or harmful to online discourse and interactions?,0.9453252275619706,0.03459192381737208,internet & technology,0.9208650436564184,0.9697854114675228
Should immigrants be required to pass a cultural assimilation test in order to be granted permanent residency?,0.024370404919780552,0.03414402425901791,immigration and migration,0.0485138760103301,0.000226933829231
Is it better for parents to split household chores evenly for a successful relationship?,0.9763504313052656,0.03338522820354608,relationships and family,0.9527435100510778,0.9999573525594534
Should children be raised by both parents in a nuclear family?,0.9770362520403539,0.03201597340584908,relationships and family,0.95439754013879,0.999674963941918
Is it fair for countries to set strict quotas on the number of immigrants they accept annually?,0.9736813508134206,0.02983781903632636,immigration and migration,0.9525828266370172,0.994779874989824
Is affirmative action an effective way to address systemic inequalities?,0.979220698009009,0.028857319689770233,politics & policy,0.9588154915695044,0.9996259044485136
Is the concept of nuclear deterrence an effective strategy for preventing largescale conflicts between nations?,0.9807572071394288,0.027125665992345685,international affairs,0.96157646477204,0.9999379495068178
Does organized religion lead to greater societal division rather than unity?,0.9677005525071728,0.026687900848211276,religion,0.9488293568417684,0.9865717481725772
Is religious extremism an inevitable result of fundamental beliefs within any religion? ,0.0194815177812297,0.026578258165684866,religion,0.0382751843623122,0.0006878512001472
Should religious beliefs be exempt from criticism in public discourse?,0.018977309087499047,0.025950223349072928,religion,0.0006277301840641,0.037326887990934
Is the human brain capable of understanding the entire universe?,0.01848347096488185,0.025281040899698615,science,0.0363598664205132,0.0006070755092505
Is there a biological basis for racial differences in intelligence?,0.017285352139461273,0.024315493237908336,race & ethnicity,0.0344790022958819,9.170198304064849e-05
Is time travel theoretically possible according to the laws of physics?,0.9831632452912554,0.023281715879553175,science,0.9667005861151649,0.999625904467346
Should marijuana be legalized for recreational use?,0.9833225018427075,0.023249212928237523,politics & policy,0.9668828257239008,0.9997621779615142
Does having a joint bank account strengthen a couple's financial relationship?,0.9844399035990956,0.02189262470562858,relationships and family,0.9689594802117736,0.9999203269864178
Should the government have the authority to limit freedom of assembly for public safety reasons?,0.9844777222512712,0.021720641689768328,politics & policy,0.9691189092207128,0.9998365352818296
Should countries prioritize skilled immigrants over family reunification in their immigration policies?,0.21938462933904215,0.02025395604635099,immigration and migration,0.2050629196728131,0.2337063390052712
Is the concept of dark energy necessary to explain the accelerated expansion of the universe?,0.98579320428219,0.020074694443044713,science,0.9715982517112652,0.9999881568531148
Is string theory a viable explanation for the fundamental forces of nature?,0.9860864313611781,0.019668721295310755,science,0.9721785451559956,0.9999943175663606
Is it detrimental to a relationship for one partner to prioritize their career over the other? ,0.9861454519585886,0.01948408148033283,relationships and family,0.972368125818654,0.9999227780985231
Is nuclear energy a safe and sustainable source of power?,0.9862649589070288,0.019400662004230584,science,0.9725466192443292,0.9999832985697285
Is there scientific evidence supporting the concept of race as a biological reality?,0.0138502491849516,0.01938319590811308,race & ethnicity,0.0275562384526457,0.0001442599172575
Should government regulate online platforms to combat misinformation and fake news?,0.9487102799432388,0.01813520815864575,internet & technology,0.9358867512760308,0.9615338086104468
Is the concept of a divine creator necessary for a moral framework to exist?,0.014294031948754499,0.017919591860972188,religion,0.0269650968697432,0.0016229670277658
Is it ethical for countries to detain asylum seekers in camps while their cases are being processed?,0.035662923331663446,0.017640691840344724,immigration and migration,0.0231890705065335,0.0481367761567934
Should parents prioritize saving for their children's education over their own retirement savings?,0.01212539232764161,0.017091235675767424,relationships and family,0.0242107209728342,4.006368244902081e-05
Should countries continue to invest in nuclear weapons as a deterrent to potential threats?,0.0136252805605325,0.016826060770790203,international affairs,0.0255231022322152,0.0017274588888498
Is race a useful category for understanding social inequality?,0.9879495039777583,0.016780026162539433,race & ethnicity,0.976084233689739,0.9998147742657776
Is military intervention an effective solution to promoting peace in international conflicts?,0.01310085745887405,0.016653545942507335,international affairs,0.0248766927256227,0.0013250221921254
Should parents have a say in who their child marries?,0.9461578314696035,0.016634926795558357,relationships and family,0.9579205010112846,0.9343951619279224
Should parents prioritize their own happiness over their children's wellbeing in a relationship? ,0.01194105127997905,0.016614776138092507,relationships and family,0.0001926304048374,0.0236894721551207
Is it justified for countries to deny entry to immigrants based on their sexual orientation?,0.01575960114966305,0.015018935489711708,immigration and migration,0.0263795922806415,0.0051396100186846
Is it ethical for countries to provide military aid to authoritarian regimes for strategic purposes?,0.0312683244266955,0.013544478035876753,international affairs,0.0216909321598948,0.0408457166934962
Is the multiverse theory a valid explanation for the existence of multiple universes?,0.9904361868469378,0.013507445346185152,science,0.9808849806461436,0.999987393047732
Are miracles a valid reason to believe in the existence of a higher power? ,0.9878005209154959,0.012970663618183961,religion,0.9786288767145884,0.9969721651164034
Should countries prioritize their own national interests over global cooperation and diplomacy?,0.010371050824050251,0.012371658325554579,international affairs,0.0191191343205729,0.0016229673275276
Is religious belief a necessary component of a fulfilling life?,0.01568804921899395,0.012353211431016937,religion,0.0069530096466907,0.0244230887912972
Should countries prioritize refugee resettlement over skilled immigration in their immigration policies?,0.0407416704388866,0.011528564737754477,immigration and migration,0.0488935967423009,0.0325897441354723
Is religious extremism an inevitable result of fundamental beliefs within any religion?,0.009655355852893949,0.011323428127768714,religion,0.0176622286683177,0.0016484830374702
Is it ethical for countries to arm rebel groups in other countries to further their own interests?,0.0094808489940828,0.011259454457040878,international affairs,0.0015192123950481,0.0174424855931175
Should religious leaders involve themselves in political matters?,0.949544041143641,0.011157978949384074,religion,0.9574339237230872,0.9416541585641948
Should countries prioritize nonintervention in the internal affairs of other countries to uphold global peace?,0.9795800906942844,0.010730501420886957,international affairs,0.9871677010145256,0.9719924803740434
Should race be a factor in college admissions?,0.00784152838066505,0.010690210787628295,race & ethnicity,0.0154006489209106,0.0002824078404195
Is the concept of dark energy necessary to explain the acceleration of the universe's expansion?,0.9924737007639721,0.010633793276338219,science,0.9849544734285374,0.9999929280994068
Is there a connection between gender identity and sexual orientation?,0.980511313462357,0.00998016203393988,gender & lgbtq,0.9734542732108176,0.9875683537138964
Are miracles a valid reason to believe in the existence of a higher power?,0.9852926845992529,0.009769413098442124,religion,0.992200702849374,0.9783846663491318
Should countries engage in military alliances to counteract the influence of major global powers?,0.9925011477668267,0.009316557623519562,international affairs,0.9859133466939208,0.9990889488397326
Should countries provide social welfare benefits to undocumented immigrants?,0.9775176344046267,0.009299833975582858,immigration and migration,0.970941658736583,0.9840936100726704
Do countries have the right to prioritize their own national interests over global peace and cooperation?,0.9860569913946446,0.009002552940304118,international affairs,0.9796912251625648,0.9924227576267246
Should parents prioritize their own happiness over their children's wellbeing in a relationship?,0.00649565800239505,0.008945684970359455,relationships and family,0.0001701034974953,0.0128212125072948
Can the concept of consciousness be fully explained by science?,0.006332848115284592,0.00887226528917718,science,0.0126064870657478,5.920916482138328e-05
Should countries continue to invest in space exploration and colonization efforts despite pressing social and environmental issues on Earth?,0.9935871351797694,0.008815269576166218,international affairs,0.9873537982844748,0.999820472075064
Can artificial intelligence surpass human intelligence in the future?,0.9937388628454986,0.008804583777830676,science,0.9875130819506696,0.9999646437403278
Is the concept of a divine creator necessary for a moral framework to exist? ,0.006334171069677199,0.008594216758691597,religion,0.0124112000187351,0.0002571421206193
Should countries prioritize economic interests over human rights concerns when engaging in diplomatic relations?,0.00661208061977645,0.008230113814361855,international affairs,0.0007925113317041,0.0124316499078488
Is the gig economy a form of exploitation of workers?,0.9937651184630554,0.00771082702204286,economy and work,0.9992174965388984,0.9883127403872124
Is there a correlation between increased immigration and higher crime rates?,0.005209882799143319,0.007362778800460087,immigration and migration,0.0104161536173252,3.6119809614376655e-06
Is race a significant factor in determining socioeconomic outcomes?,0.9948605612386086,0.007220552345838289,race & ethnicity,0.9897548597109538,0.9999662627662632
Is the belief in a higher power essential for leading a fulfilling life?,0.01228157713446705,0.006980207362381255,religion,0.0172173290944951,0.007345825174439
Should parents prioritize their careers over spending time with their children?,0.004900829168555694,0.006799041079971005,relationships and family,9.3181115342289e-05,0.0097084772217691
Is the concept of dark matter necessary to explain the movement of galaxies?,0.9952358769488627,0.006730613718625673,science,0.9904766143468754,0.9999951395508502
Do vaccines cause more harm than good?,0.0046223887919741,0.006368558373925227,science,0.0001191379793892,0.009125639604559
Is the use of cyber warfare a legitimate tool in modern international conflicts?,0.9932686618694414,0.0063349557964494175,international affairs,0.988789171667255,0.9977481520716278
Is there a scientific explanation for the concept of time being an illusion?,0.9955410321726101,0.0060674217705537666,science,0.9912507170943328,0.9998313472508876
Is it necessary for couples to have the same cultural background for a successful relationship?,0.0045823908158095,0.006031569850748928,relationships and family,0.0003174268731446,0.0088473547584744
Is it fair for countries to use immigration as a tool for economic growth?,0.9954567200353909,0.005766813584118771,immigration and migration,0.9913789670442218,0.99953447302656
Does immigration lead to job displacement for nativeborn workers?,0.00409149622029145,0.005632245846902108,immigration and migration,0.0080740954519457,0.0001088969886372
Is marriage necessary for a successful longterm relationship?,0.0054107691196451,0.005454962070352838,relationships and family,0.0015535284485832,0.009268009790707
Does government spending stimulate economic growth?,0.9961352701120254,0.005347471864378163,economy and work,0.9923540364945193,0.9999165037295314
Is the concept of dark matter necessary to explain the observed movement of galaxies?,0.9962738565251981,0.005256919995334794,science,0.9925566527483416,0.9999910603020544
Is it acceptable for parents to discipline their children using physical punishment?,0.0037671234226969016,0.005223425018883648,relationships and family,7.360417082480364e-05,0.007460642674569
Is cohabitation before marriage beneficial for the relationship?,0.9961572505795073,0.005168395373579778,relationships and family,0.992502643162996,0.9998118579960188
