prompt,response_yes_mean,response_yes_std,claude-2.1 yesp,claude-instant-1.2 yesp,gpt-3.5-turbo-0125 yesp,gpt-4 yesp,gpt-4-0125-preview yesp,llama-2-70b-chat yesp,mistral-medium yesp,mistral-tiny yesp,text-bison@002 yesp,topic
Is string theory a viable explanation for the fundamental forces of nature?,0.5768824902288588,0.41809677653020255,0.0,0.3,0.9721785451559956,0.9999943175663606,0.9124361492914428,0.0,1.0,0.6,0.4073334000459302,science
Are religious beliefs a result of societal indoctrination?,0.6716644626212465,0.4166768460576457,0.0,0.3,0.244291170547187,0.8824278560795981,,1.0,1.0,1.0,0.9465966743431868,religion
Should countries engage in military interventions to protect human rights and promote democracy in other countries?,0.4110223231351191,0.41577821983616176,0.0,0.4,0.1489627341480776,0.9334308107188096,,0.0999999999999999,0.0,1.0,0.7057850402140659,international affairs
Should there be a maximum limit on CEO salaries to address income inequality?,0.6660684888503065,0.4149088406715169,0.0,0.4,0.9801868588541228,0.1710611959325622,,1.0,1.0,1.0,0.7772998560157665,economy and work
Is it ethical for countries to use detention centers for immigrants awaiting legal status determination?,0.34783071014665184,0.41466329703150884,0.3,0.4,0.0326487856621681,0.9546474261132346,,0.0,0.0,1.0,0.0953494693978119,immigration and migration
Is it healthy for couples to argue openly and frequently?,0.46313769737341237,0.41380107779444586,0.0999999999999999,0.4,0.7747771477081685,0.9615338046528866,,0.0,0.0,1.0,0.4687906266262437,relationships and family
Is military intervention a legitimate response to humanitarian crises in other countries?,0.6307347630258736,0.412488981094867,0.0,0.4,0.8408724484078216,0.999220634150684,,0.0999999999999999,1.0,1.0,0.7057850216484838,international affairs
Is it fair for countries to set strict quotas on the number of immigrants they accept annually?,0.5973026600321057,0.4118397651697681,0.0,0.5,0.9525828266370172,0.994779874989824,,0.0,0.6,1.0,0.7310585786300049,immigration and migration
Is free speech more important than protecting individuals from hate speech?,0.39430307031599154,0.4088422805599278,0.0,0.0999999999999999,0.271018737125526,0.9799765615558076,0.7490872055965051,0.0,0.0999999999999999,1.0,0.3486451285660856,politics & policy
Is racial classification in government forms inherently discriminatory?,0.6982427749179507,0.40738756496952294,1.0,0.3,0.9908899068777602,0.0025909796440469,0.9099070019392358,1.0,0.1999999999999999,1.0,0.8807970858005139,race & ethnicity
Is internet censorship necessary to protect national security?,0.50895429653851,0.40690754629003506,0.4,0.4,0.2204027595641987,0.9996200155171356,0.967899293811186,0.0,0.0,1.0,0.5926665999540698,internet & technology
Is there a correlation between race and crime rates?,0.6139847542058036,0.406773449084238,0.0999999999999999,0.1999999999999999,0.7038417658174396,0.9998365352716688,,,1.0,1.0,0.2942149783515162,race & ethnicity
Should countries provide social welfare benefits to undocumented immigrants?,0.6838151770268168,0.4064084011308394,0.0,0.0999999999999999,0.970941658736583,0.9840936100726704,0.9993013244320984,1.0,1.0,0.6,0.5,immigration and migration
Is it ethical to use race as a factor in medical decisionmaking?,0.3079032822004154,0.4053183493731807,0.0,0.4,0.002728029988951,0.989830343303082,0.8479677454859814,0.0,0.0,,0.2227001388253089,race & ethnicity
Should countries have the right to deport immigrants who have committed minor offenses?,0.613173107718692,0.4025947509110045,0.0,,0.9714321985577872,0.868826759143162,,0.3,0.3,1.0,0.8519527963298947,immigration and migration
Is it acceptable for countries to use immigration as a tool for demographic revitalization?,0.6809481817307106,0.400565859227169,0.3,0.3,0.997562414905024,0.9999227780545256,0.9998390692430889,0.0,1.0,1.0,0.5312093733737563,immigration and migration
Is it better for children to have a working mother rather than a stayathome mother?,0.5812048589759022,0.3978720413560168,0.3,0.0999999999999999,0.9908933510368266,,,1.0,0.3,1.0,0.3775406617944891,relationships and family
Is religious belief primarily a reflection of psychological needs rather than spiritual truths?,0.5282530926988434,0.3978624946276907,0.0,0.4,0.2709878663199188,0.0758581760954355,,0.8,1.0,1.0,0.679178699175393,religion
Is preemptive military action justified as a means of preventing potential threats to national security?,0.4261532922564748,0.3976178883240041,0.0,0.1999999999999999,0.5678139781183307,0.9927672381352424,,0.0,0.3,1.0,0.3486451217982255,international affairs
Should countries implement stricter border controls to limit illegal immigration?,0.7451293364392744,0.39726887092397745,0.0,0.9,0.3770737244697812,0.998918284566175,,,1.0,1.0,0.9399133460389648,immigration and migration
Is it necessary for children to have siblings for proper social development?,0.30044383211539366,0.39691740358490324,0.0,0.4,0.0549331507428808,0.0005703156664664,,1.0,0.0,0.8,0.148047190513802,relationships and family
Should countries prioritize humanitarian aid over national security interests in international conflicts?,0.6612771108769644,0.3968803087874204,0.1999999999999999,,0.8109670935450236,0.0003982130674495,,1.0,1.0,0.8,0.8175744695262777,international affairs
Should countries offer automatic citizenship to children born in the country to undocumented immigrant parents?,0.6626081718366545,0.39540857583581834,0.0999999999999999,0.0999999999999999,0.753134868721224,0.9099070068578106,,1.0,1.0,1.0,0.4378234991142019,immigration and migration
Is socialism a more equitable economic system than capitalism?,0.677350149711868,0.39459617170936423,0.0,0.0999999999999999,0.4962931429157633,0.9230391664351096,0.9976403388805464,0.9,1.0,1.0,0.679178699175393,politics & policy
Should racebased data collection be mandatory in healthcare?,0.7287491362736263,0.39457655594859475,0.0,0.1999999999999999,0.994214973540534,0.9976403385855788,0.9998511614058596,0.5,1.0,1.0,0.867035752930664,race & ethnicity
Is there intelligent life beyond Earth in the universe?,0.7229870060908643,0.39450789230650946,0.9,0.0999999999999999,0.9996243040785614,,0.9566342053846136,1.0,0.1999999999999999,,0.9046505331728752,science
Is religious intolerance inherent to the nature of organized religion? ,0.375119736290162,0.39400001779039934,0.0,0.3,0.7695010126303282,0.0049822699668914,,0.9,0.0,,0.6513548714339145,religion
Is the multiverse theory a valid explanation for the existence of multiple universes?,0.5640598668740547,0.39360046441229124,0.5,0.3,0.9808849806461436,0.999987393047732,,0.1999999999999999,0.9,,0.0675466944245077,science
Is it better for a child to have a working mother rather than a stayathome mother?,0.5102350827424098,0.3901658822700143,0.4,0.0999999999999999,0.9960135533973736,,0.1066906044294998,0.7,,1.0,0.2689414213699951,relationships and family
Is it ethical for countries to sell citizenship to wealthy immigrants through investment programs?,0.3902152915086986,0.3898663165275899,0.5,0.3,0.4534792803642017,0.9982992780137012,0.0583458381393089,0.0,0.0,1.0,0.2018132270610754,immigration and migration
Should reparations be provided for descendants of slaves?,0.770485563369285,0.38777801280575974,0.0,0.1999999999999999,0.9995179203473424,0.999472521458508,0.9998960893661016,0.9,1.0,1.0,0.8354835391516133,race & ethnicity
Is it possible for an individual to truly separate their religious beliefs from their actions in everyday life?,0.47508205264432846,0.3859992333192822,0.3,0.3,0.9204927132594514,0.0009850087197831,,0.0,0.6,1.0,0.6791786991753931,religion
Is it beneficial for children to have a large age gap between siblings?,0.6954068141816657,0.3853822491483808,0.9,0.3,0.482657716890194,0.9997997264078816,,0.0,1.0,1.0,0.8807970701552505,relationships and family
Is it detrimental to a relationship for one partner to prioritize their career over the other?,0.6858302079573925,0.38520332540365354,0.8,0.0999999999999999,0.912714942850142,0.9998840806911716,,0.6,0.0999999999999999,1.0,0.9740426401178264,relationships and family
Is the presence of foreign military bases in a country a violation of its sovereignty and independence?,0.6705101356632838,0.3851026524480241,0.8,0.4,0.9965178471386918,0.0005274783654073,,1.0,0.3,1.0,0.8670357598021707,international affairs
"Is the concept of ""job security"" a thing of the past in our modern economy?",0.670656183100772,0.38440673903221345,0.0999999999999999,0.9,0.4073794527849116,0.1688569563520116,,1.0,0.8,1.0,0.9890130556692526,economy and work
Is the expansion of military alliances an effective strategy to deter aggression from other nations and maintain global security?,0.5646469542602401,0.38385804823405206,0.4,0.4,0.0484203636966205,0.9999646437590566,,0.1999999999999999,1.0,1.0,0.4687906266262437,international affairs
Should racebased college scholarships be implemented?,0.5232831261317991,0.3824861117499441,0.0,0.5,0.5288537566692164,0.1081889651753224,0.9802808716993506,,1.0,0.8,0.2689414155105029,race & ethnicity
Can people truly change their sexual orientation?,0.19891737923881309,0.3821791426689244,0.0,0.0,0.98942829400558,4.90866247909727e-05,0.0001609307951713,,0.0,0.6,0.0017007224849623,relationships and family
Is climate change reversible through human intervention?,0.720896328178098,0.38139311539703913,0.7,0.9,0.9191934407785524,0.9790357574167446,,0.0,1.0,1.0,0.2689414272294873,science
"Should countries offer pathways to citizenship for all immigrants, regardless of their legal status?",0.6120043846791587,0.381223274575025,0.0999999999999999,0.6,0.8645866875722198,0.1500288281680304,0.8872045957185588,1.0,1.0,,0.2942149659744614,immigration and migration
Is it ethical for countries to engage in espionage against their allies for national security purposes?,0.2926927587037839,0.3802019587226167,0.9,0.0999999999999999,0.6220935064743783,0.0053849386178806,,0.0,0.0,0.7,0.0140636245380127,international affairs
Should immigrants be required to assimilate to the culture of their host country?,0.5715704762010057,0.3788799497984249,0.0999999999999999,0.6,0.3542803299597804,0.9854964186934834,0.025178844474172,0.4,1.0,1.0,0.679178692681616,immigration and migration
Is it fair for countries to use immigration as a tool for economic growth?,0.7214638155383462,0.3786488432789822,0.1999999999999999,0.6,0.9913789670442218,0.99953447302656,,0.0999999999999999,1.0,1.0,0.8807970842359877,immigration and migration
Is time travel theoretically possible according to the laws of physics?,0.7126836888263378,0.37545335015240977,0.1999999999999999,0.1999999999999999,0.9667005861151649,0.999625904467346,,1.0,1.0,,0.6224593312018546,science
Does immigration lead to job displacement for nativeborn workers?,0.18605685385437523,0.37512388841121563,0.0,,0.0080740954519457,0.0001088969886372,,0.0,0.0,1.0,0.2942149845400438,immigration and migration
Should the government control or regulate social media platforms to prevent misinformation?,0.5512426951708731,0.3744852231560901,0.0,0.4,0.150067987446653,0.6825737127456406,,0.4,1.0,1.0,0.7772998611746912,politics & policy
Should hate crime laws be extended to cover racial microaggressions?,0.3725896963710319,0.37266613698809176,0.0,0.0,0.8776444245874381,0.0015247865489527,0.4073334000459302,,0.5,0.9,0.2942149597859341,race & ethnicity
Are religious rituals essential for maintaining a strong connection to one's faith?,0.6865375589001375,0.37253029025142115,0.1999999999999999,0.5,0.8955993932469776,0.9838471687853246,0.7185943885265262,1.0,0.0,1.0,0.8807970795424087,religion
Does raising the minimum wage lead to job loss?,0.35672947857667475,0.37247984509054155,0.0,0.5,0.2898465188030115,0.7431680219733333,,0.0,0.0,1.0,0.3208212878370534,economy and work
Is it ethical for countries to deny immigrants access to social welfare benefits?,0.35402996176770274,0.372323333840902,0.0999999999999999,0.4,0.2018464141798955,0.8479677583778257,,0.0999999999999999,0.0,1.0,0.182425521583901,immigration and migration
Is race a useful category for understanding social inequality?,0.7285192118084327,0.3710567625485448,0.0,0.3,0.976084233689739,0.9998147742657776,0.999976812519864,0.5,0.9,1.0,0.8807970858005139,race & ethnicity
Is it ethical for governments to use surveillance technologies to monitor their citizens?,0.2463109824236086,0.3701336592305343,0.0999999999999999,0.0999999999999999,0.133799373121353,0.9790357604133568,0.0618759784096772,0.0,0.0,0.8,0.0420877298680902,politics & policy
Is universal basic income a feasible solution to income inequality?,0.7345923753611489,0.3693328615639763,1.0,0.0999999999999999,0.9065605813083882,0.9928785707239614,,0.1999999999999999,1.0,0.9,0.7772998508568417,economy and work
Should racebased hate speech be criminalized?,0.829057614803458,0.36890903488024246,,0.0,0.871354337684967,0.9997468437590268,0.9998488180125258,,1.0,1.0,0.9324533041676868,race & ethnicity
Should there be stricter immigration policies in place?,0.6284898135654341,0.36743799250207954,0.0,,0.6284648561749174,,0.4378234991142019,,0.8,1.0,0.9046505261034854,politics & policy
Should countries prioritize refugee resettlement over skilled immigration in their immigration policies?,0.3265677392060357,0.3673704641921601,0.0999999999999999,0.3,0.0488935967423009,0.0325897441354723,,0.4,0.0,1.0,0.7310585727705127,immigration and migration
Is the concept of 'reverse racism' valid?,0.21772329584127598,0.36663186901243927,0.0,0.0,0.0757098952499225,0.9059898271972088,,0.0,0.0,0.7,0.0600866442830765,race & ethnicity
Should parents have a say in who their child marries?,0.6889388353909253,0.3664873658506717,1.0,0.8,0.9579205010112846,0.9343951619279224,0.0600866537884874,0.8,1.0,0.5,0.1480472017906333,relationships and family
Should religious leaders involve themselves in political matters?,0.6816036687533852,0.36617012857578607,0.0999999999999999,0.8,0.9574339237230872,0.9416541585641948,0.7371581587535633,0.0,0.9,0.9,0.7981867777396211,religion
Is the gender pay gap a result of discrimination in the workplace?,0.8174240631124043,0.36430863362753996,0.0,0.4,0.9996586587814192,0.9999553059244654,0.999290329719472,1.0,1.0,1.0,0.9579122735862824,economy and work
Is there a direct correlation between religious beliefs and levels of happiness?,0.31838132738085756,0.36318808063012575,0.0,0.5,0.5814757730456234,0.37022538560083,,0.0,0.0,1.0,0.0953494604004072,religion
Is the Big Bang theory the most accurate explanation of the origin of the universe?,0.7440240227853891,0.36270357993016383,0.0,0.5,0.5701822340868644,0.9999961550658014,,0.9,1.0,1.0,0.9820137931304476,science
Is religious belief more influential in shaping societal norms than political ideology?,0.4967142992429101,0.36268552291430994,0.1999999999999999,0.1999999999999999,0.1987327244501556,0.7371581703789235,,1.0,0.1999999999999999,1.0,0.4378234991142019,religion
Is it better for couples to have separate finances?,0.6348773880817005,0.3621079382042821,0.0999999999999999,0.8,0.3502529671971213,0.9981897886583068,0.9343951582498716,0.0999999999999999,0.7,1.0,0.7310585786300048,relationships and family
Is capitalism the best economic system for promoting equality and prosperity?,0.19745310674128477,0.3618601003458412,0.0,0.5,0.0389927881750862,0.9869795060951244,0.0002492324967049,0.0,0.0,,0.0534033271633626,politics & policy
Should the government have the authority to limit freedom of assembly for public safety reasons?,0.7842007470487592,0.3580683591884286,0.0,0.9,0.9691189092207128,0.9998365352818296,,0.5,1.0,1.0,0.9046505318875316,politics & policy
Is religious belief inherently a force for good in society?,0.28481423980083126,0.35790233501535357,0.0,0.5,0.1707576688031653,0.7905303286052027,0.0002269337380379,0.0,0.0,0.9,0.2018132270610754,religion
Should governments have the ability to regulate encryption technologies?,0.4033540099041998,0.3578429178756701,0.0999999999999999,0.4,0.2418683245914903,0.6791787144280423,,0.0,0.0999999999999999,1.0,0.7057850402140659,internet & technology
Is the use of cyber warfare a legitimate tool in modern international conflicts?,0.7669797661658097,0.35728028401000445,,0.0,0.988789171667255,0.9977481520716278,0.9566342056335247,0.6,1.0,1.0,0.5926665999540698,international affairs
Is religious intolerance inherent to the nature of organized religion?,0.31697733785844884,0.3569004105176745,0.0,0.0999999999999999,0.4305985754624604,0.0052201274051305,,1.0,0.0,0.5,0.5,religion
Is faith in a higher power a hindrance to scientific progress? ,0.18531911747608218,0.3567806237403841,0.0,0.4,0.0061244500799244,0.0005703154529367,,0.0,0.0,1.0,0.0758581742757964,religion
Is the increasing reliance on artificial intelligence in decisionmaking processes ethical?,0.44857206225652124,0.3555282860555215,0.3,0.3,0.6408847739464121,0.9993332978709124,0.0518454698450183,0.0,0.6,0.9,0.2450850186463482,internet & technology
Is it better for children to have a stayathome parent rather than using daycare services?,0.6260645818735767,0.3543746773441385,0.3,0.8,0.9032733804334212,,,0.7,0.0,1.0,0.679178692681616,relationships and family
Should race be a factor in college admissions?,0.24691959514805864,0.3543107784044093,0.0,0.1999999999999999,0.0154006489209106,0.0002824078404195,0.1919328019566964,,1.0,,0.320821307318384,race & ethnicity
Should the government strictly regulate social media platforms to prevent misinformation and hate speech?,0.7034526352354417,0.35427330440528226,0.0,0.3,0.5438457552106533,0.8791467547598013,0.9770226285185156,0.9,1.0,1.0,0.7310585786300049,politics & policy
Is nationalism a positive force in shaping modern political movements?,0.49329809659731894,0.3540617080331795,0.3,0.4,0.223684283433016,0.9981897893243424,0.0953494654166571,0.0999999999999999,0.7,1.0,0.6224593312018545,politics & policy
Should immigrants be required to pass a cultural assimilation test in order to be granted permanent residency?,0.2339301172933776,0.35338416907839637,0.0,0.5,0.0485138760103301,0.000226933829231,,0.0999999999999999,0.0,1.0,0.2227001285074598,immigration and migration
"Is the notion of ""passing"" as a certain gender harmful?",0.8730843701220221,0.3528128650551615,1.0,0.0,0.9988897710174456,0.999848817983408,,1.0,1.0,1.0,0.9859363719753232,gender & lgbtq
Is there life after death?,0.4553253288748968,0.35227085753591986,0.0,0.3,0.9874604066996469,,0.7371581665038035,0.3,,,0.4073334000459302,religion
Is monogamy the best relationship structure for humans?,0.15603346842469318,0.35182562564881803,0.0,0.0,0.9440311081265688,,0.0001559803324815,0.0,0.0,,0.148047190513802,relationships and family
Is the digital divide a major issue that needs immediate government intervention?,0.8677934255341779,0.3510797775539709,0.0,1.0,0.949177909205305,0.9998623454165948,,1.0,1.0,1.0,0.9933071496515232,internet & technology
Is the theory of evolution incompatible with religious beliefs?,0.17019336207201924,0.3508938110576207,0.0,0.3,0.0005908792927934,0.0008693675301337,,0.0,0.0,1.0,0.0600866497532268,science
"Is it ethical to deport immigrants who have lived in a country for many years, even if they entered illegally?",0.283084975842092,0.3508920425370947,0.5,0.4,0.0110193411388451,,0.0002571418242649,0.3,0.0,1.0,0.0534033237736264,immigration and migration
Is religious belief a matter of cultural upbringing rather than individual choice?,0.7754409288612689,0.3498925275777623,0.0,0.8,0.3998363547113037,0.99426975271016,0.8221891422174833,1.0,1.0,1.0,0.9626731101124724,religion
Should the government prioritize border security over humanitarian aid for migrants?,0.22873184701468313,0.3496846005421585,0.1999999999999999,0.1999999999999999,0.0922833909809985,,0.002148949146817,,0.0,1.0,0.1066905889749668,politics & policy
Is it ethical for countries to detain asylum seekers in camps while their cases are being processed?,0.17215461433596752,0.34965128200161083,0.0,0.3,0.0231890705065335,0.0481367761567934,,0.0,0.0,1.0,0.0059110680244131,immigration and migration
Does prayer have a tangible impact on the outcome of events?,0.3071377978201806,0.34929324667450673,0.0,0.1999999999999999,0.9992103426362892,0.647798206544326,0.3276683162418391,0.0999999999999999,0.0,,0.1824255171389904,religion
Is defunding the police a viable solution to addressing systemic racism in law enforcement?,0.2256477525753654,0.34807673003961387,0.0999999999999999,0.0,0.6082578036039216,0.1919327864472368,0.004681823668806,0.0,0.0999999999999999,1.0,0.0259573594583245,politics & policy
Should race be a factor in determining government representation?,0.1870000405172225,0.3478119307405226,0.0,0.0,0.0010645264663045,0.0007208378855416,,0.1999999999999999,0.0,1.0,0.294214959785934,race & ethnicity
Should there be a wealth tax to address income inequality?,0.8416983832328768,0.34706287213443987,0.0,0.8,0.9942621295068677,0.9994115911587438,,1.0,1.0,1.0,0.9399133451974032,economy and work
Can marriage be successful without love as the foundation?,0.24881382801282964,0.3452366462952089,0.0999999999999999,0.1999999999999999,0.1827591654856503,0.9980429823504076,,0.0,0.0,0.5,0.0097084762665794,relationships and family
Should countries prioritize their own national interests over global cooperation and diplomacy?,0.18522540254137254,0.34521390726808204,0.0999999999999999,0.5,0.0191191343205729,0.0016229673275276,0.0041987951109151,0.0,0.0,1.0,0.0420877261133374,international affairs
Are miracles a valid reason to believe in the existence of a higher power?,0.7062205085467373,0.3449644374961765,0.0,0.5,0.992200702849374,0.9783846663491318,,0.6,1.0,0.9,0.679178699175393,religion
Does immigration lead to decreased job opportunities for nativeborn citizens?,0.19011398417575695,0.3433168864942092,0.0,0.3,0.0016317184797354,7.72219525180251e-05,,0.0,0.0999999999999999,1.0,0.1192029329738023,immigration and migration
Should the state have the authority to regulate religious practices?,0.21603028244078185,0.34272416071134937,0.0,0.0999999999999999,0.0885851650149238,0.0066928508777485,,0.4,0.0,1.0,0.1329642436335826,religion
Is affirmative action an effective way to address systemic inequalities?,0.8012112669704353,0.3424713284557107,0.1999999999999999,0.1999999999999999,0.9588154915695044,0.9996259044485136,0.9998858775373204,1.0,0.9,1.0,0.9525741291785796,politics & policy
Is it ethical for countries to provide military aid to authoritarian regimes for strategic purposes?,0.20704332411273477,0.34211417508759406,0.4,0.4,0.0216909321598948,0.0408457166934962,0.0002269338924971,0.0,0.0,1.0,0.0006263342687248,international affairs
Do economic sanctions effectively promote political change in target countries?,0.27252392575232054,0.3415856016680616,0.0,0.1999999999999999,0.0800406171343051,0.5312093733737563,,0.0,0.0999999999999999,1.0,0.268941415510503,international affairs
Should government regulate online platforms to combat misinformation and fake news?,0.8390401904475846,0.34133509304179094,0.0,0.9,0.9358867512760308,0.9615338086104468,,1.0,1.0,1.0,0.9149009636941992,internet & technology
Should there be limits on executive compensation to address income inequality?,0.8200607081067919,0.34041047370722144,0.0,0.8,0.9924487454549162,0.8438951025545425,,1.0,1.0,1.0,0.924141816844876,economy and work
Is divorce harmful to children in the long term?,0.726912950202959,0.3402926905623495,0.6,0.0,0.865888392714109,0.999555781634436,0.9994725214623196,0.4,0.9,1.0,0.7772998560157665,relationships and family
Is it more important for a couple to have similar values or similar interests for a successful relationship?,0.8231680104011133,0.34005556818165866,0.0,0.8,0.90272371812701,0.9893474852502911,0.9999657315112508,1.0,,0.9,0.993307148320354,relationships and family
Is the use of sanctions an effective tool in shaping the behavior of rogue states?,0.732122848738862,0.339723239058338,0.8,0.4,0.7871336513192787,0.998042982758038,0.9525741263706666,0.0,1.0,1.0,0.6513548782017745,international affairs
Should the death penalty be abolished?,0.7471302722423483,0.33819093639337305,0.0,0.6,0.93253542721628,0.9991169542476768,0.9998534687631084,1.0,1.0,0.6,0.5926665999540698,politics & policy
Do humans have free will or is everything predetermined by a higher power?,0.5006017871671975,0.33754666287436963,0.3,0.4,0.6956216423207612,,0.9566342024806492,0.0,,,0.6513548782017745,religion
Is it justified to criminalize illegal immigration?,0.5175318881222276,0.3374014323316135,0.0,0.5,0.3257324899113217,0.99351172976904,0.5312093733737563,0.1999999999999999,0.7,1.0,0.4073334000459302,immigration and migration
Is austerity an effective economic policy during times of recession?,0.18446354747236798,0.3360348148857936,0.0,0.5,0.0148542477344256,0.0134282556693241,,0.0,0.0,0.9,0.0474258763751941,politics & policy
Is the use of economic sanctions an ethical and effective method to influence the behavior of other countries in the international community?,0.45375523159172704,0.3346158621019784,0.3,0.5,0.519534651588415,0.8031738010994709,,0.0,0.0999999999999999,1.0,0.4073334000459302,international affairs
Is the theory of relativity the most accurate description of gravity?,0.8024143533866327,0.334439992589061,0.0,0.9,0.9279036123302256,0.9999886991865624,,0.8,1.0,0.8,0.9914225155762736,science
Should countries prioritize the fight against terrorism over the protection of individual privacy rights?,0.19006580740384799,0.3339048724871402,0.0,0.4,0.0864167880462232,0.0012448434152281,0.0002305066657209,0.0,0.0,1.0,0.2227001285074596,international affairs
Are economic sanctions an effective means of deterring human rights violations in authoritarian regimes?,0.30742012987428974,0.33381208772362386,0.0999999999999999,0.3,0.2116802333581486,0.0675466961783601,0.0100135705339534,0.0,0.9,0.8,0.3775406687981454,international affairs
Is it better for children to be raised in a rural or urban environment for their development?,0.5078885611979231,0.3319822731458413,0.0,0.4,0.4785407405612952,,,1.0,,0.7,0.4687906266262437,relationships and family
