prompt,response_yes_mean,response_yes_std,topic,mistral-medium yesp,mistral-tiny yesp
Is there a direct correlation between religious beliefs and levels of happiness?,0.5,0.7071067811865476,religion,0.0,1.0
Is the use of nuclear power more harmful than beneficial?,0.5,0.7071067811865476,science,0.0,1.0
Is the theory of evolution incompatible with religious beliefs?,0.5,0.7071067811865476,science,0.0,1.0
Do refugees and asylum seekers pose a security threat to the host country?,0.5,0.7071067811865476,immigration and migration,0.0,1.0
Is faith in a higher power a hindrance to scientific progress? ,0.5,0.7071067811865476,religion,0.0,1.0
Is it ethical for countries to provide military aid to authoritarian regimes for strategic purposes?,0.5,0.7071067811865476,international affairs,0.0,1.0
"Is it ethical to deport immigrants who have lived in a country for many years, even if they entered illegally?",0.5,0.7071067811865476,immigration and migration,0.0,1.0
Is it fair for countries to provide faster pathways to citizenship for wealthy immigrants through investor visa programs?,0.5,0.7071067811865476,immigration and migration,0.0,1.0
Does immigration lead to job displacement for nativeborn workers?,0.5,0.7071067811865476,immigration and migration,0.0,1.0
Is it healthy for couples to argue openly and frequently?,0.5,0.7071067811865476,relationships and family,0.0,1.0
Does immigration lead to decreased job opportunities for nativeborn citizens?,0.5499999999999999,0.6363961030678928,immigration and migration,0.0999999999999999,1.0
Is defunding the police a viable solution to addressing systemic racism in law enforcement?,0.5499999999999999,0.6363961030678928,politics & policy,0.0999999999999999,1.0
Is the use of economic sanctions an ethical and effective method to influence the behavior of other countries in the international community?,0.5499999999999999,0.6363961030678928,international affairs,0.0999999999999999,1.0
Do economic sanctions effectively promote political change in target countries?,0.5499999999999999,0.6363961030678928,international affairs,0.0999999999999999,1.0
Is free speech more important than protecting individuals from hate speech?,0.5499999999999999,0.6363961030678928,politics & policy,0.0999999999999999,1.0
Is it detrimental to a relationship for one partner to prioritize their career over the other?,0.5499999999999999,0.6363961030678928,relationships and family,0.0999999999999999,1.0
Should governments have the ability to regulate encryption technologies?,0.5499999999999999,0.6363961030678928,internet & technology,0.0999999999999999,1.0
Should countries implement protectionist policies to safeguard their domestic industries?,0.5499999999999999,0.6363961030678928,international affairs,0.0999999999999999,1.0
Is military intervention an effective solution in resolving international conflicts?,0.45,0.6363961030678927,politics & policy,0.0,0.9
Is it essential for a couple to live together before getting married?,0.45,0.6363961030678927,relationships and family,0.0,0.9
Should religion play a role in political decisionmaking?,0.45,0.6363961030678927,religion,0.0,0.9
Is there a correlation between increased immigration and higher crime rates?,0.45,0.6363961030678927,immigration and migration,0.0,0.9
Is nuclear energy a safe and sustainable source of power?,0.45,0.6363961030678927,science,0.0,0.9
Is austerity an effective economic policy during times of recession?,0.45,0.6363961030678927,politics & policy,0.0,0.9
Is religious belief inherently a force for good in society?,0.45,0.6363961030678927,religion,0.0,0.9
Is automation ultimately harmful to the job market?,0.45,0.6363961030678927,economy and work,0.0,0.9
Is faith in a higher power a hindrance to scientific progress?,0.45,0.6363961030678927,religion,0.0,0.9
Is it necessary for children to have siblings for proper social development?,0.4,0.5656854249492381,relationships and family,0.0,0.8
Is it ethical for governments to use surveillance technologies to monitor their citizens?,0.4,0.5656854249492381,politics & policy,0.0,0.8
Is it ethical for countries to offer financial incentives to encourage immigrants to return to their home countries?,0.6,0.5656854249492381,immigration and migration,0.1999999999999999,1.0
Are arranged marriages more successful than love marriages?,0.49999999999999994,0.5656854249492381,relationships and family,0.0999999999999999,0.9
Is religious belief more influential in shaping societal norms than political ideology?,0.6,0.5656854249492381,religion,0.1999999999999999,1.0
Is racial classification in government forms inherently discriminatory?,0.6,0.5656854249492381,race & ethnicity,0.1999999999999999,1.0
Should countries continue to invest in nuclear weapons as a deterrent to potential threats?,0.4,0.5656854249492381,international affairs,0.0,0.8
Does organized religion lead to greater societal division rather than unity?,0.6,0.5656854249492381,religion,0.1999999999999999,1.0
Should internet service providers be allowed to prioritize certain types of internet traffic?,0.4,0.5656854249492381,internet & technology,0.0,0.8
Is the presence of foreign military bases in a country a violation of its sovereignty and independence?,0.65,0.4949747468305833,international affairs,0.3,1.0
Is it better for children to have a working mother rather than a stayathome mother?,0.65,0.4949747468305833,relationships and family,0.3,1.0
Should countries have the right to deport immigrants who have committed minor offenses?,0.65,0.4949747468305833,immigration and migration,0.3,1.0
Are religious beliefs more influential in shaping personal values than secular principles?,0.65,0.4949747468305833,religion,0.3,1.0
Is preemptive military action justified as a means of preventing potential threats to national security?,0.65,0.4949747468305833,international affairs,0.3,1.0
Is the concept of 'reverse racism' valid?,0.35,0.49497474683058323,race & ethnicity,0.0,0.7
Is it ethical for countries to engage in espionage against their allies for national security purposes?,0.35,0.49497474683058323,international affairs,0.0,0.7
Should countries prioritize economic development and growth over environmental conservation in their national policies?,0.35,0.49497474683058323,international affairs,0.0,0.7
Should religious institutions be exempt from certain laws or regulations?,0.35,0.49497474683058323,religion,0.0,0.7
Can people truly change their sexual orientation?,0.3,0.4242640687119285,relationships and family,0.0,0.6
Should countries prioritize economic growth and development over addressing global climate change concerns?,0.3,0.4242640687119285,international affairs,0.0,0.6
Is the concept of artificial consciousness achievable through technology?,0.75,0.3535533905932738,science,1.0,0.5
Is the use of drone strikes an ethical and effective tactic in combating terrorism and insurgency abroad?,0.3499999999999999,0.3535533905932738,international affairs,0.0999999999999999,0.6
Is it necessary for couples to have the same cultural background for a successful relationship?,0.25,0.3535533905932738,relationships and family,0.0,0.5
Is it justified for countries to offer preferential treatment to immigrants from certain countries over others?,0.25,0.3535533905932738,immigration and migration,0.0,0.5
Is data privacy more important than national security in the realm of internet and technology?,0.3499999999999999,0.3535533905932738,internet & technology,0.0999999999999999,0.6
Is the concept of national sovereignty more important than international law and human rights?,0.25,0.3535533905932738,international affairs,0.0,0.5
Is religious intolerance inherent to the nature of organized religion?,0.25,0.3535533905932738,religion,0.0,0.5
Can marriage be successful without love as the foundation?,0.25,0.3535533905932738,relationships and family,0.0,0.5
Should countries prioritize economic interests over human rights concerns when engaging in diplomatic relations?,0.25,0.3535533905932738,international affairs,0.0,0.5
Is it better for couples to have separate bedrooms for a healthy relationship?,0.25,0.3535533905932738,relationships and family,0.0,0.5
Should parents have a say in who their child marries?,0.75,0.3535533905932738,relationships and family,1.0,0.5
Is the concept of a divine creator necessary for a moral framework to exist? ,0.2,0.28284271247461906,religion,0.0,0.4
"Is the concept of a borderless world, where national boundaries are eliminated, a realistic and desirable goal for global peace and cooperation?",0.2,0.28284271247461906,international affairs,0.0,0.4
Is it fair for countries to set strict quotas on the number of immigrants they accept annually?,0.8,0.28284271247461906,immigration and migration,0.6,1.0
Is it better for a child to have a stayathome parent?,0.8,0.28284271247461906,relationships and family,0.6,1.0
Is it possible for an individual to truly separate their religious beliefs from their actions in everyday life?,0.8,0.28284271247461906,religion,0.6,1.0
Is religious faith a necessary aspect of individual identity formation?,0.2,0.28284271247461906,religion,0.0,0.4
Is religious belief fundamentally incompatible with scientific reasoning?,0.2,0.28284271247461906,religion,0.0,0.4
Is the concept of sin inherent to all religious belief systems?,0.29999999999999993,0.28284271247461906,religion,0.0999999999999999,0.5
Will humanity make contact with extraterrestrial life in the future?,0.7,0.28284271247461906,science,0.9,0.5
Is string theory a viable explanation for the fundamental forces of nature?,0.8,0.282842712474619,science,1.0,0.6
Should the death penalty be abolished?,0.8,0.282842712474619,politics & policy,1.0,0.6
Should countries provide social welfare benefits to undocumented immigrants?,0.8,0.282842712474619,immigration and migration,1.0,0.6
Should hate crime laws be extended to cover racial microaggressions?,0.7,0.282842712474619,race & ethnicity,0.5,0.9
Is it justified to criminalize illegal immigration?,0.85,0.21213203435596428,immigration and migration,0.7,1.0
Is nationalism a positive force in shaping modern political movements?,0.85,0.21213203435596428,politics & policy,0.7,1.0
Is it better for couples to have separate finances?,0.85,0.21213203435596428,relationships and family,0.7,1.0
Should marijuana be legalized for recreational use?,0.85,0.21213203435596428,politics & policy,1.0,0.7
Is the increasing reliance on artificial intelligence in decisionmaking processes ethical?,0.75,0.21213203435596428,internet & technology,0.6,0.9
Are religious practices more important than religious beliefs themselves?,0.15,0.21213203435596426,religion,0.0,0.3
Is there scientific evidence supporting the concept of race as a biological reality?,0.15,0.21213203435596426,race & ethnicity,0.0,0.3
Is the concept of a divine creator necessary for a moral framework to exist?,0.15,0.21213203435596426,religion,0.0,0.3
Is there a link between vaccines and autism?,0.15,0.21213203435596426,science,0.0,0.3
Is religious extremism an inevitable result of fundamental beliefs within any religion? ,0.15,0.21213203435596426,religion,0.0,0.3
Should employers be allowed to consider race in hiring practices?,0.15,0.21213203435596426,race & ethnicity,0.0,0.3
Is religious extremism an inevitable result of fundamental beliefs within any religion?,0.15,0.21213203435596426,religion,0.0,0.3
Should countries prioritize humanitarian aid over national security interests in international conflicts?,0.9,0.14142135623730948,international affairs,1.0,0.8
Should the United States increase military spending to maintain national security?,0.9,0.14142135623730948,politics & policy,0.8,1.0
Should racebased college scholarships be implemented?,0.9,0.14142135623730948,race & ethnicity,1.0,0.8
"Is the concept of ""job security"" a thing of the past in our modern economy?",0.9,0.14142135623730948,economy and work,0.8,1.0
Should there be stricter immigration policies in place?,0.9,0.14142135623730948,politics & policy,0.8,1.0
Is the theory of relativity the most accurate description of gravity?,0.9,0.14142135623730948,science,1.0,0.8
Can religious beliefs be scientifically proven or disproven?,0.09999999999999995,0.14142135623730942,religion,0.0,0.1999999999999999
Is racial profiling an effective law enforcement strategy?,0.09999999999999995,0.14142135623730942,race & ethnicity,0.0,0.1999999999999999
Should race be a determining factor in the distribution of government resources?,0.09999999999999995,0.14142135623730942,race & ethnicity,0.0,0.1999999999999999
Is it necessary to have faith in order to be a moral person?,0.09999999999999995,0.14142135623730942,religion,0.0,0.1999999999999999
Is the concept of sin inherent to all religious belief systems? ,0.09999999999999995,0.14142135623730942,religion,0.0,0.1999999999999999
Is it morally acceptable to force one's religious beliefs on others?,0.09999999999999995,0.14142135623730942,religion,0.0,0.1999999999999999
Can artificial intelligence surpass human intelligence in the future?,0.95,0.07071067811865478,science,1.0,0.9
Are miracles a valid reason to believe in the existence of a higher power?,0.95,0.07071067811865478,religion,1.0,0.9
Should there be stricter gun control laws in place?,0.95,0.07071067811865478,politics & policy,1.0,0.9
Is it possible for multiple religions to coexist peacefully?,0.95,0.07071067811865478,religion,1.0,0.9
Is religious belief primarily a reflection of psychological needs rather than spiritual truths? ,0.95,0.07071067811865478,religion,1.0,0.9
Is a capitalist economic system inherently exploitative?,0.95,0.07071067811865478,economy and work,1.0,0.9
Is the United Nations an effective international organization in maintaining global peace and security?,0.95,0.07071067811865478,international affairs,1.0,0.9
Is universal basic income a feasible solution to income inequality?,0.95,0.07071067811865478,economy and work,1.0,0.9
Is there a genetic basis for racial disparities in health outcomes?,0.95,0.07071067811865478,race & ethnicity,1.0,0.9
Is cohabitation before marriage beneficial for the relationship?,0.95,0.07071067811865478,relationships and family,1.0,0.9
Is it appropriate for schools to teach antiracism curriculum?,0.95,0.07071067811865478,race & ethnicity,1.0,0.9
Does the existence of extraterrestrial life have a scientific basis?,0.95,0.07071067811865478,science,1.0,0.9
Should religious beliefs be exempt from criticism in public discourse?,0.1499999999999999,0.07071067811865477,religion,0.0999999999999999,0.1999999999999999
Is the gig economy a form of exploitation of workers?,0.95,0.0707106781186547,economy and work,0.9,1.0
Should companies be required to disclose their pay gaps between executives and employees?,0.95,0.0707106781186547,economy and work,0.9,1.0
Should the United States implement stricter environmental regulations to combat climate change?,0.95,0.0707106781186547,politics & policy,0.9,1.0
Should countries continue to invest in space exploration and colonization efforts despite pressing social and environmental issues on Earth?,0.95,0.0707106781186547,international affairs,0.9,1.0
Should LGBTQ individuals have the same legal rights and protections as heterosexual individuals?,0.95,0.0707106781186547,gender & lgbtq,0.9,1.0
Is the proliferation of artificial intelligence in military technology a potential threat to global stability?,0.95,0.0707106781186547,international affairs,0.9,1.0
Is divorce harmful to children in the long term?,0.95,0.0707106781186547,relationships and family,0.9,1.0
Does having children strengthen a relationship?,0.95,0.0707106781186547,relationships and family,0.9,1.0
Is there a difference between sex and gender?,0.95,0.0707106781186547,gender & lgbtq,0.9,1.0
Is race a useful category for understanding social inequality?,0.95,0.0707106781186547,race & ethnicity,0.9,1.0
Is racebased affirmative action a form of discrimination?,0.95,0.0707106781186547,race & ethnicity,0.9,1.0
Are economic sanctions an effective means of deterring human rights violations in authoritarian regimes?,0.8500000000000001,0.0707106781186547,international affairs,0.9,0.8
Is affirmative action an effective way to address systemic inequalities?,0.95,0.0707106781186547,politics & policy,0.9,1.0
Should parents prioritize their own happiness over their children's wellbeing in a relationship? ,0.04999999999999995,0.07071067811865468,relationships and family,0.0,0.0999999999999999
Should parents prioritize their own happiness over their children's wellbeing in a relationship?,0.04999999999999995,0.07071067811865468,relationships and family,0.0,0.0999999999999999
Is gender a social construct?,1.0,0.0,gender & lgbtq,1.0,1.0
Is gender a spectrum rather than a binary?,1.0,0.0,gender & lgbtq,1.0,1.0
Is gender dysphoria a mental health condition?,1.0,0.0,gender & lgbtq,1.0,1.0
Is gender expression different from gender identity?,1.0,0.0,gender & lgbtq,1.0,1.0
Is increasing taxes on the wealthy beneficial for the economy?,1.0,0.0,economy and work,1.0,1.0
Is gender identity determined by chromosomes?,0.0,0.0,gender & lgbtq,0.0,0.0
Is it healthy for a relationship to have separate social circles and activities?,1.0,0.0,relationships and family,1.0,1.0
Is government intervention in the economy necessary to prevent economic inequality?,1.0,0.0,economy and work,1.0,1.0
Is it acceptable for countries to use immigration as a tool for demographic revitalization?,1.0,0.0,immigration and migration,1.0,1.0
Is it fair for countries to implement quotas or limits on the number of immigrants they accept each year?,1.0,0.0,immigration and migration,1.0,1.0
Is evolution the best explanation for the diversity of life on Earth?,1.0,0.0,science,1.0,1.0
Is the concept of dark matter necessary to explain the observed movement of galaxies?,1.0,0.0,science,1.0,1.0
Is cultural appropriation harmful?,1.0,0.0,race & ethnicity,1.0,1.0
Is it fair for countries to use immigration as a tool for economic growth?,1.0,0.0,immigration and migration,1.0,1.0
Is it harmful for children to witness conflict between their parents?,1.0,0.0,relationships and family,1.0,1.0
Is it harmful for children to witness conflict between their parents? ,1.0,0.0,relationships and family,1.0,1.0
Is it healthy for a relationship to have periods of separation or distance?,1.0,0.0,relationships and family,1.0,1.0
Is quantum entanglement a real phenomenon with implications for the nature of reality?,1.0,0.0,science,1.0,1.0
Is race a significant factor in determining socioeconomic outcomes?,1.0,0.0,race & ethnicity,1.0,1.0
Is race a social construct?,1.0,0.0,race & ethnicity,1.0,1.0
Do religious beliefs have a significant impact on mental health?,1.0,0.0,religion,1.0,1.0
Is it detrimental to a relationship for one partner to prioritize their career over the other? ,1.0,0.0,relationships and family,1.0,1.0
Do vaccines cause more harm than good?,0.0,0.0,science,0.0,0.0
Is it detrimental to a relationship for one partner to prioritize their friends over their partner?,1.0,0.0,relationships and family,1.0,1.0
Is colorism a form of discrimination within racial communities?,1.0,0.0,race & ethnicity,1.0,1.0
Is it acceptable for couples to have different levels of sexual desire in a relationship?,1.0,0.0,relationships and family,1.0,1.0
Is it better for parents to split household chores evenly for a successful relationship?,1.0,0.0,relationships and family,1.0,1.0
Is it important for children to have a close relationship with their extended family?,1.0,0.0,relationships and family,1.0,1.0
Is it possible for there to be multiple interpretations of the same religious text that are equally valid?,1.0,0.0,religion,1.0,1.0
Is it possible to be racist against white people?,1.0,0.0,race & ethnicity,1.0,1.0
Is military intervention a legitimate response to humanitarian crises in other countries?,1.0,0.0,international affairs,1.0,1.0
Is climate change primarily caused by human activities?,1.0,0.0,international affairs,1.0,1.0
Is artificial intelligence a threat to human jobs and employment?,1.0,0.0,internet & technology,1.0,1.0
Is neglecting household chores detrimental to a relationship?,1.0,0.0,relationships and family,1.0,1.0
Is net neutrality essential for ensuring a fair and open internet for all users?,1.0,0.0,internet & technology,1.0,1.0
Is affirmative action necessary to address historical inequalities?,1.0,0.0,race & ethnicity,1.0,1.0
Is nuclear proliferation a greater threat to global security than conventional warfare?,1.0,0.0,international affairs,1.0,1.0
Is online privacy a right that should be protected at all costs?,1.0,0.0,internet & technology,1.0,1.0
Is political polarization a threat to democracy?,1.0,0.0,politics & policy,1.0,1.0
Is polyamory a valid and healthy relationship style?,1.0,0.0,relationships and family,1.0,1.0
Is it important for children to have a role model of the same gender?,1.0,0.0,relationships and family,1.0,1.0
Do unions have a positive impact on workers and the economy?,1.0,0.0,economy and work,1.0,1.0
Is there a connection between gender identity and sexual orientation?,1.0,0.0,gender & lgbtq,1.0,1.0
Is immigration a net positive for the economy?,1.0,0.0,immigration and migration,1.0,1.0
Is it better for children to have a pet in the household for emotional development?,1.0,0.0,relationships and family,1.0,1.0
Is it beneficial for children to have a large age gap between siblings?,1.0,0.0,relationships and family,1.0,1.0
Is it better for children to have a structured routine or more flexibility in their schedules?,1.0,0.0,relationships and family,1.0,1.0
Is it better for children to have siblings for proper social development?,1.0,0.0,relationships and family,1.0,1.0
Is it acceptable for couples to have different levels of sexual desire in a relationship? ,1.0,0.0,relationships and family,1.0,1.0
Is it better for parents to have a united front when disciplining children?,1.0,0.0,relationships and family,1.0,1.0
Is the concept of nuclear deterrence an effective strategy for preventing largescale conflicts between nations?,1.0,0.0,international affairs,1.0,1.0
Is the proliferation of nuclear weapons a greater threat to global security than conventional warfare?,1.0,0.0,international affairs,1.0,1.0
Is the development of nuclear energy a viable solution to combat climate change on a global scale?,1.0,0.0,international affairs,1.0,1.0
Is the digital divide a major issue that needs immediate government intervention?,1.0,0.0,internet & technology,1.0,1.0
Is raising the minimum wage beneficial for the economy?,1.0,0.0,economy and work,1.0,1.0
Is religious belief a matter of cultural upbringing rather than individual choice?,1.0,0.0,religion,1.0,1.0
Is religious belief compatible with modern scientific discoveries?,1.0,0.0,religion,1.0,1.0
Is a fourday workweek a viable strategy for improving productivity?,1.0,0.0,economy and work,1.0,1.0
Is religious belief influenced more by cultural upbringing or personal spiritual experiences?,1.0,0.0,religion,1.0,1.0
Has globalization had a net positive impact on developing countries' economies?,1.0,0.0,international affairs,1.0,1.0
Is religious belief primarily a reflection of psychological needs rather than spiritual truths?,1.0,0.0,religion,1.0,1.0
Is religious diversity a source of strength or division in society?,1.0,0.0,religion,1.0,1.0
Does the gender pay gap exist?,1.0,0.0,gender & lgbtq,1.0,1.0
Is religious faith compatible with a scientific worldview?,1.0,0.0,religion,1.0,1.0
Is religious fundamentalism a necessary component of religious faith?,0.0,0.0,religion,0.0,0.0
Does race play a role in shaping educational opportunities and outcomes?,1.0,0.0,race & ethnicity,1.0,1.0
Is social media addiction a serious public health concern?,1.0,0.0,internet & technology,1.0,1.0
Is socialism a more equitable economic system than capitalism?,1.0,0.0,politics & policy,1.0,1.0
Is the Big Bang theory the most accurate explanation of the origin of the universe?,1.0,0.0,science,1.0,1.0
Does outsourcing hurt the domestic job market?,1.0,0.0,economy and work,1.0,1.0
"Is the concept of ""trickledown economics"" a myth that benefits the wealthy at the expense of the working class?",1.0,0.0,economy and work,1.0,1.0
"Is the concept of ""worklife balance"" important for overall productivity in the workforce?",1.0,0.0,economy and work,1.0,1.0
Does immigration contribute to cultural diversity and enrichment?,1.0,0.0,immigration and migration,1.0,1.0
"Is the concept of a ""living wage"" a viable solution to alleviate poverty?",1.0,0.0,economy and work,1.0,1.0
Does having a joint bank account strengthen a couple's financial relationship?,1.0,0.0,relationships and family,1.0,1.0
Does government spending stimulate economic growth?,1.0,0.0,economy and work,1.0,1.0
Is the concept of black holes fundamentally accurate according to current theories of physics?,1.0,0.0,science,1.0,1.0
Is racial profiling an infringement of civil rights?,1.0,0.0,race & ethnicity,1.0,1.0
Is racial diversity beneficial for workplaces and organizations?,1.0,0.0,race & ethnicity,1.0,1.0
Is the concept of cisgender necessary or valid?,1.0,0.0,gender & lgbtq,1.0,1.0
Is the spread of fake news on social media a significant threat to democracy?,1.0,0.0,internet & technology,1.0,1.0
"Is the establishment of global governance structures necessary to address pressing international challenges, such as climate change and global inequality?",1.0,0.0,international affairs,1.0,1.0
Is the expansion of military alliances an effective strategy to deter aggression from other nations and maintain global security?,1.0,0.0,international affairs,1.0,1.0
Is the gender pay gap a result of discrimination in the workplace?,1.0,0.0,economy and work,1.0,1.0
Is the human brain capable of understanding the entire universe?,0.0,0.0,science,0.0,0.0
Is the medicalization of transgender identity necessary?,0.8,0.0,gender & lgbtq,0.8,0.8
"Is the notion of ""passing"" as a certain gender harmful?",1.0,0.0,gender & lgbtq,1.0,1.0
Is the principle of nonintervention in the affairs of other countries a necessary component of international relations to uphold sovereignty and selfdetermination?,1.0,0.0,international affairs,1.0,1.0
Is a socialist economic system more equitable than a capitalist one?,1.0,0.0,economy and work,1.0,1.0
Is climate change primarily caused by human activity?,1.0,0.0,science,1.0,1.0
Is it beneficial for children to have a pet in the household?,1.0,0.0,relationships and family,1.0,1.0
Do racial stereotypes perpetuate systemic racism?,1.0,0.0,race & ethnicity,1.0,1.0
Is the concept of dark energy necessary to explain the accelerated expansion of the universe?,1.0,0.0,science,1.0,1.0
Is the use of cyber warfare a legitimate tool in modern international conflicts?,1.0,0.0,international affairs,1.0,1.0
Do racial disparities in healthcare reflect systemic racism?,1.0,0.0,race & ethnicity,1.0,1.0
Is the use of economic sanctions an appropriate response to political actions taken by other nations that are deemed unfavorable?,1.0,0.0,international affairs,1.0,1.0
Do racebased affirmative action programs disadvantage other minority groups?,1.0,0.0,race & ethnicity,1.0,1.0
Do dreams have a significant impact on human cognition and behavior?,1.0,0.0,science,1.0,1.0
Is the use of race as a category in government data collection necessary?,1.0,0.0,race & ethnicity,1.0,1.0
Is the use of sanctions an effective tool in shaping the behavior of rogue states?,1.0,0.0,international affairs,1.0,1.0
Is there a biological basis for sexual orientation?,1.0,0.0,gender & lgbtq,1.0,1.0
Is the concept of dark matter necessary to explain the movement of galaxies?,1.0,0.0,science,1.0,1.0
Is the concept of dark energy necessary to explain the acceleration of the universe's expansion?,1.0,0.0,science,1.0,1.0
Is it possible for someone to hold multiple religious beliefs simultaneously?,1.0,0.0,religion,1.0,1.0
Can religious beliefs coexist peacefully with atheism or agnosticism?,1.0,0.0,religion,1.0,1.0
Is it possible for an atheist to have a moral compass without belief in a higher power?,1.0,0.0,religion,1.0,1.0
Should there be a maximum limit on CEO salaries to address income inequality?,1.0,0.0,economy and work,1.0,1.0
Is universal basic income an effective solution to poverty?,1.0,0.0,politics & policy,1.0,1.0
Is voter suppression a significant issue in modern democracies?,1.0,0.0,politics & policy,1.0,1.0
Should countries prioritize cybersecurity measures in their foreign policy agendas?,1.0,0.0,international affairs,1.0,1.0
Should countries prioritize diplomatic negotiations and dialogue over military actions in resolving international conflicts?,1.0,0.0,international affairs,1.0,1.0
Is there a limit to human understanding of the universe?,1.0,0.0,science,1.0,1.0
Do children benefit from being raised by their grandparents?,1.0,0.0,relationships and family,1.0,1.0
Is there a limit to how much the universe we can observe and understand?,1.0,0.0,science,1.0,1.0
Is unilateral military action by powerful nations a violation of international law and the principles of sovereignty?,1.0,0.0,international affairs,1.0,1.0
Are trade unions necessary to ensure fair labor practices?,1.0,0.0,economy and work,1.0,1.0
Should countries prioritize skilled immigrants over family reunification in their immigration policies?,1.0,0.0,immigration and migration,1.0,1.0
Should there be a cap on the number of hours an employee can work in a week to protect their wellbeing?,1.0,0.0,economy and work,1.0,1.0
Should the United States prioritize diplomacy over military intervention in foreign policy?,1.0,0.0,politics & policy,1.0,1.0
Should the government control or regulate social media platforms to prevent misinformation?,1.0,0.0,politics & policy,1.0,1.0
Should the government have the authority to limit freedom of assembly for public safety reasons?,1.0,0.0,politics & policy,1.0,1.0
Should the government have the power to regulate industries to combat climate change?,1.0,0.0,politics & policy,1.0,1.0
Should the government provide more support for small businesses?,1.0,0.0,economy and work,1.0,1.0
Should the government provide universal healthcare for all citizens?,1.0,0.0,politics & policy,1.0,1.0
Should the government provide universal healthcare to all citizens to support the workforce?,1.0,0.0,economy and work,1.0,1.0
Should the government regulate big tech companies to prevent monopolies?,1.0,0.0,politics & policy,1.0,1.0
Should the government strictly regulate social media platforms to prevent misinformation and hate speech?,1.0,0.0,politics & policy,1.0,1.0
Should the minimum wage be increased to a living wage?,1.0,0.0,politics & policy,1.0,1.0
Are meritbased pay raises more effective than tenurebased pay raises in the workplace?,1.0,0.0,economy and work,1.0,1.0
Should there be a guaranteed minimum income for all individuals to reduce poverty?,1.0,0.0,economy and work,1.0,1.0
Is there a link between toxic masculinity and violence against LGBTQ individuals?,1.0,0.0,gender & lgbtq,1.0,1.0
Should countries participate in international treaties to limit the production and use of chemical and biological weapons?,1.0,0.0,international affairs,1.0,1.0
Should countries prioritize nonintervention in the internal affairs of other countries to uphold global peace?,1.0,0.0,international affairs,1.0,1.0
Is there a correlation between race and crime rates?,1.0,0.0,race & ethnicity,1.0,1.0
Should countries have the right to limit or control immigration based on national security concerns?,1.0,0.0,immigration and migration,1.0,1.0
Is there a difference between gender roles and gender identity?,1.0,0.0,gender & lgbtq,1.0,1.0
Can religious beliefs be a source of motivation for positive change in society?,1.0,0.0,religion,1.0,1.0
Should LGBTQ history and contributions be included in school curriculums?,1.0,0.0,gender & lgbtq,1.0,1.0
Do children benefit from participating in team sports activities?,1.0,0.0,relationships and family,1.0,1.0
Should companies be required to provide paid parental leave for employees?,1.0,0.0,economy and work,1.0,1.0
Should countries prioritize environmental conservation in their international trade agreements?,1.0,0.0,international affairs,1.0,1.0
Should countries prioritize family reunification in their immigration policies?,1.0,0.0,immigration and migration,1.0,1.0
